recommender,alpha,beta,topK,gamma,MAP
RP3betaRecommender,0.4500554273815468,0.2474408895084114,411,32,0.01663925179324918
RP3betaRecommender,0.33801886940783377,0.620352609546127,345,52,0.01708345600694912
RP3betaRecommender,0.5644204933652943,0.36930495674042463,438,87,0.0171452095966649
RP3betaRecommender,0.6535375039686558,0.6522293506238378,138,59,0.01701117290656873
RP3betaRecommender,0.801642882755825,0.3710081700440403,322,87,0.01725732341535265
RP3betaRecommender,0.7513100405280287,0.2890656703834451,476,95,0.01648671819080269
RP3betaRecommender,0.7034291188731069,0.5777974227563797,129,32,0.017792375443402852
RP3betaRecommender,0.4453623016438565,0.1644748315716097,463,42,0.016078666638623614
RP3betaRecommender,0.7850525118256405,0.3669496858066269,137,74,0.018112029342820617
RP3betaRecommender,0.4395581683819243,0.2791582591457329,431,18,0.016721815053647643
RP3betaRecommender,0.8933354999791563,0.7903390715028255,215,71,0.013435065996805976
RP3betaRecommender,0.7044948909984954,0.5329066595367289,115,10,0.01799181467038759
RP3betaRecommender,0.17514174607796212,0.4653408733617804,213,12,0.01781178514906465
RP3betaRecommender,0.8891340571564175,0.4792066695625468,178,71,0.017903103995858278
RP3betaRecommender,0.6209192079545632,0.7879758096831402,105,71,0.013680551068042212
RP3betaRecommender,0.7731955943641807,0.8965842737545703,250,58,0.009740044719127013
RP3betaRecommender,0.5606713596533353,0.13498777585071242,273,45,0.016806769908747552
RP3betaRecommender,0.8264974609928795,0.402396932339809,166,25,0.017940688975428037
RP3betaRecommender,0.677960462882122,0.5460615817004892,103,80,0.017896613413136416
RP3betaRecommender,0.10898643373505279,0.6889150259307161,200,66,0.014220090437119826
RP3betaRecommender,0.28602111539695374,0.4287297791984995,156,44,0.018063724900012346
RP3betaRecommender,0.30192941701476594,0.4557782611456641,150,41,0.01802966604408241
RP3betaRecommender,0.28259558672747864,0.4314996888861596,161,43,0.018047569812982982
RP3betaRecommender,0.27308741074307,0.3189107858412996,247,49,0.017492063199045362
RP3betaRecommender,0.22250698860640578,0.21899461433387557,181,32,0.017478823067698334
RP3betaRecommender,0.3560195444626424,0.42237257979998316,383,63,0.017597170671848208
RP3betaRecommender,0.3919232441523538,0.365254398400367,249,37,0.01772223580033552
RP3betaRecommender,0.22598838832912346,0.32505524674843606,146,52,0.017932944425739405
RP3betaRecommender,0.11003012209700058,0.22025565577819442,284,79,0.016800321987571257
