recommender,TopK,shrink,MAP
ItemKNNCFRecommender,20,57,0.002487451909602793
ItemKNNCFRecommender,124,63,0.002431463221992917
ItemKNNCFRecommender,74,84,0.002705482942240567
ItemKNNCFRecommender,63,74,0.002728031287421336
ItemKNNCFRecommender,82,91,0.002702616627175215
ItemKNNCFRecommender,66,70,0.002722680832632679
ItemKNNCFRecommender,69,81,0.002705482942240567
ItemKNNCFRecommender,10,65,0.0022753445947667457
ItemKNNCFRecommender,120,77,0.002522229865729063
ItemKNNCFRecommender,38,72,0.0024401895589696554
ItemKNNCFRecommender,43,101,0.0025403194985859517
ItemKNNCFRecommender,61,74,0.0026477744655914806
ItemKNNCFRecommender,60,80,0.002634398328619838
ItemKNNCFRecommender,46,49,0.0024586613671685902
ItemKNNCFRecommender,98,92,0.0026063084409793883
ItemKNNCFRecommender,26,94,0.0025115289561517496
ItemKNNCFRecommender,136,66,0.002519363550663711
ItemKNNCFRecommender,121,64,0.002431463221992917
ItemKNNCFRecommender,16,114,0.0025853524930571485
ItemKNNCFRecommender,64,82,0.0027146551504496933
ItemKNNCFRecommender,39,106,0.002520701164360876
ItemKNNCFRecommender,187,84,0.002484776682208464
ItemKNNCFRecommender,79,85,0.002686565262809244
ItemKNNCFRecommender,65,78,0.0027146551504496933
ItemKNNCFRecommender,64,88,0.0027146551504496933
ItemKNNCFRecommender,70,79,0.002705482942240567
ItemKNNCFRecommender,92,89,0.002686565262809244
ItemKNNCFRecommender,146,94,0.002495477591785778
ItemKNNCFRecommender,60,72,0.002649557950521033
ItemKNNCFRecommender,119,74,0.0025356060027007057
ItemKNNCFRecommender,111,99,0.0026063084409793883
ItemKNNCFRecommender,30,82,0.002466495961680553
ItemKNNCFRecommender,65,78,0.0027146551504496933
ItemKNNCFRecommender,47,69,0.002466304874009529
ItemKNNCFRecommender,43,94,0.0025403194985859517
ItemKNNCFRecommender,60,59,0.00255127519172463
ItemKNNCFRecommender,11,76,0.0022957272796759153
ItemKNNCFRecommender,90,98,0.002686565262809244
