recommender,TopK,shrink,MAP
ItemKNNCFRecommender,355,115,0.004913687759013097
ItemKNNCFRecommender,379,112,0.0048961568243158305
ItemKNNCFRecommender,317,127,0.004861421016206718
ItemKNNCFRecommender,356,107,0.00489997262260198
ItemKNNCFRecommender,344,107,0.004886560047563822
ItemKNNCFRecommender,333,90,0.004855704662500135
ItemKNNCFRecommender,356,102,0.0049021346145485594
ItemKNNCFRecommender,290,101,0.004843772581947133
ItemKNNCFRecommender,388,95,0.004864352630286453
ItemKNNCFRecommender,355,115,0.004913687759013097
ItemKNNCFRecommender,356,115,0.004919950485684439
ItemKNNCFRecommender,353,112,0.0049097897110333254
ItemKNNCFRecommender,351,114,0.004901691053700823
ItemKNNCFRecommender,343,113,0.004899910935331763
ItemKNNCFRecommender,334,116,0.0048818776900056045
ItemKNNCFRecommender,322,121,0.004875849962458891
ItemKNNCFRecommender,357,103,0.004900104809609582
ItemKNNCFRecommender,349,110,0.004894576455202704
ItemKNNCFRecommender,377,98,0.004869102550093002
ItemKNNCFRecommender,308,114,0.004864772691221726
ItemKNNCFRecommender,359,110,0.004899819873170972
ItemKNNCFRecommender,351,125,0.004907633594064864
ItemKNNCFRecommender,345,125,0.004902125802081389
ItemKNNCFRecommender,330,132,0.004887074108148948
ItemKNNCFRecommender,343,128,0.004894135831844028
ItemKNNCFRecommender,360,124,0.004904966354000333
ItemKNNCFRecommender,367,121,0.004910961769167412
ItemKNNCFRecommender,369,120,0.004899487936907438
ItemKNNCFRecommender,387,137,0.004878434952829802
ItemKNNCFRecommender,364,122,0.004901855553088067
ItemKNNCFRecommender,377,125,0.0048991236882642624
ItemKNNCFRecommender,361,117,0.004912988636617331
ItemKNNCFRecommender,393,115,0.004873206222306826
ItemKNNCFRecommender,362,119,0.004904372981210648
ItemKNNCFRecommender,375,129,0.004892100151926935
ItemKNNCFRecommender,365,119,0.004905465727140169
ItemKNNCFRecommender,336,118,0.0048880023546912284
ItemKNNCFRecommender,362,134,0.004888134541698833
ItemKNNCFRecommender,385,123,0.0048810111307335405
ItemKNNCFRecommender,400,119,0.004870785731323156
ItemKNNCFRecommender,364,116,0.004912571513171113
ItemKNNCFRecommender,361,24,0.004740214342701579
ItemKNNCFRecommender,354,127,0.004905644913972696
ItemKNNCFRecommender,374,128,0.004889512224066966
ItemKNNCFRecommender,365,124,0.004909255088024799
ItemKNNCFRecommender,383,126,0.004888131604209775
ItemKNNCFRecommender,325,133,0.004879689260657508
ItemKNNCFRecommender,339,140,0.004865333751631775
ItemKNNCFRecommender,353,123,0.004902281489001454
ItemKNNCFRecommender,484,113,0.004858574589309654
ItemKNNCFRecommender,365,120,0.004903118673382945
ItemKNNCFRecommender,363,117,0.004901397304795041
