recommenders,alpha,beta,MAP
P3alpha + RP3beta,0.34414223078376116,0.21164309490475297,0.007454548684040249
P3alpha + RP3beta,0.6468438993414911,1.7733257619887217,0.007710571553625961
P3alpha + RP3beta,0.6920872988460542,0.5293268666002753,0.007513776261953504
P3alpha + RP3beta,0.8295447670096003,0.9423949874168194,0.007580455886225717
P3alpha + RP3beta,0.1708345547372221,1.0485814780685128,0.007757750968622922
P3alpha + RP3beta,1.4509447026414024,0.8840571132594486,0.007450928329140258
P3alpha + RP3beta,1.675324664878483,1.440223936208212,0.007543853438003634
P3alpha + RP3beta,0.3257082984098969,1.2239606190503793,0.00773639499538702
P3alpha + RP3beta,1.3889521906497466,1.0728176724709555,0.007518333313960281
P3alpha + RP3beta,0.6238344504206155,0.5561643932236147,0.007552761537144532
