recommender,alpha,topk,MAP
P3alphaRecommender,0.7482631820972844,626,0.01460353199994762
P3alphaRecommender,0.4044229769767512,166,0.013640553711959325
P3alphaRecommender,0.21234215873927953,609,0.011815889388555665
P3alphaRecommender,0.3520689727319716,587,0.012240379667364914
P3alphaRecommender,0.15112726288364742,439,0.01192699269857731
P3alphaRecommender,0.3962202048955932,765,0.012141280862068204
P3alphaRecommender,0.7287717965010321,198,0.015262097260535032
P3alphaRecommender,0.7438546953718423,195,0.015418651144847981
P3alphaRecommender,0.4108904192774381,171,0.013629980571076545
P3alphaRecommender,0.18282704355871315,228,0.012525941155143444
P3alphaRecommender,0.9480607493786396,985,0.016052328839931154
P3alphaRecommender,0.8785157925454924,110,0.017124157925167964
P3alphaRecommender,0.8791786812606538,120,0.017125406734856612
P3alphaRecommender,0.8703928734534027,114,0.017099245451209014
P3alphaRecommender,0.8775209113995909,110,0.01713262010110569
P3alphaRecommender,0.8702205630656473,113,0.017106430471074366
P3alphaRecommender,0.8727421012192338,115,0.017138928091422482
P3alphaRecommender,0.8706402605449401,115,0.017103228283342705
P3alphaRecommender,0.875312225477883,116,0.017145072560998183
P3alphaRecommender,0.8774731191464434,114,0.01713193865176119
P3alphaRecommender,0.8764737252881429,115,0.01714434900845455
P3alphaRecommender,0.8745166337926599,112,0.01714066346311272
P3alphaRecommender,0.875514543579462,111,0.01713583809217546
P3alphaRecommender,0.8788983426032129,120,0.017126167092523417
P3alphaRecommender,0.87941226993576,116,0.017108137938941396
P3alphaRecommender,0.8765851827153538,118,0.017135001329789807
P3alphaRecommender,0.8786663014839143,112,0.01712051878524884
P3alphaRecommender,0.8748712619380746,112,0.017147739914387502
P3alphaRecommender,0.873222410437722,110,0.01714162018811475
P3alphaRecommender,0.8703806436701955,117,0.017110199465805748
P3alphaRecommender,0.877268098078003,119,0.017131957865164405
P3alphaRecommender,0.8785088326549777,120,0.01713482217641374
P3alphaRecommender,0.8751633294010817,112,0.017141922312796397
P3alphaRecommender,0.8734210250072806,114,0.01714270589477027
P3alphaRecommender,0.8724854367226055,114,0.017135651357611383
P3alphaRecommender,0.8727210108378739,120,0.017107469674988145
P3alphaRecommender,0.8703831130840758,119,0.01711577366977772
P3alphaRecommender,0.8703530600239165,118,0.017111937254829693
P3alphaRecommender,0.8799454102739163,111,0.017130709270785305
P3alphaRecommender,0.8722306319131238,120,0.01711085769996874
P3alphaRecommender,0.8725195529013164,110,0.017148577715568037
P3alphaRecommender,0.8748007541997996,118,0.01713862355271649
P3alphaRecommender,0.8743636212422928,112,0.01713951413793403
P3alphaRecommender,0.8735283583858762,111,0.01713791438768583
P3alphaRecommender,0.8787782617623283,112,0.017122480923723416
P3alphaRecommender,0.8725666485096428,117,0.01712689020573259
P3alphaRecommender,0.870391651362977,114,0.0170991383098024
P3alphaRecommender,0.877964582906452,111,0.01712444023960936
P3alphaRecommender,0.8706199251076953,119,0.017119646595916537
P3alphaRecommender,0.8766940275769101,111,0.017136480253344646
P3alphaRecommender,0.8706941651094259,112,0.017128184466676046
P3alphaRecommender,0.8784138058487188,114,0.017128236895162068
P3alphaRecommender,0.8708899531930265,119,0.017123394652697587
P3alphaRecommender,0.8721435741708533,118,0.01711384030306941
P3alphaRecommender,0.8790037522377033,118,0.017128725902502372
P3alphaRecommender,0.8755162668766345,120,0.01712695912386726
P3alphaRecommender,0.8762647276389102,120,0.01713482388084325
P3alphaRecommender,0.8783614689361156,112,0.0171238701565722
P3alphaRecommender,0.8728420703491911,115,0.01713971294825813
P3alphaRecommender,0.8703676663951055,120,0.017108874985697308
P3alphaRecommender,0.8720616315447752,119,0.017112603895121606
P3alphaRecommender,0.8772283542086649,114,0.017134956486912534
P3alphaRecommender,0.870963882555339,111,0.017128313656211997
P3alphaRecommender,0.8732788634299459,113,0.017141371591559994
P3alphaRecommender,0.8757113846726076,111,0.017136459669703553
P3alphaRecommender,0.8700590366334182,110,0.017122557498760845
P3alphaRecommender,0.8729598963069272,111,0.01714741058604066
P3alphaRecommender,0.8730380824400741,111,0.01713747548408144
