recommender,TopK,Epochs,lambda_i,lambda_j,MAP
SLIM_BPR_Recommender,500,100,0.005,0.003,0.0045865816193256075
SLIM_BPR_Recommender,500,100,0.004,0.003,0.004626207153677258
SLIM_BPR_Recommender,100,10,0.004,0.005,0.004406771146807231
SLIM_BPR_Recommender,500,10,0.005,0.003,0.004459836973448862
SLIM_BPR_Recommender,100,100,0.005,0.005,0.0046542223483304656
SLIM_BPR_Recommender,500,10,0.005,0.005,0.004446074707438011
SLIM_BPR_Recommender,100,100,0.004,0.003,0.004626148155170164
SLIM_BPR_Recommender,500,100,0.005,0.005,0.004649631561688847
SLIM_BPR_Recommender,100,100,0.004,0.005,0.00461064388588273
SLIM_BPR_Recommender,100,100,0.005,0.003,0.004631262955701185
SLIM_BPR_Recommender,500,100,0.004,0.005,0.004634990964023387
SLIM_BPR_Recommender,500,10,0.004,0.003,0.004496882077431368
SLIM_BPR_Recommender,500,10,0.004,0.005,0.004453166532070952
SLIM_BPR_Recommender,100,10,0.005,0.005,0.004477475962347554
SLIM_BPR_Recommender,100,10,0.004,0.003,0.004366167114420937
SLIM_BPR_Recommender,100,10,0.005,0.003,0.004470648532673419
