recommender,TopK,Epochs,lambda_i,lambda_j,MAP
SLIM_BPR_Recommender,430,56,0.00858099924199472,0.00695680843354792,0.004553520607045922
SLIM_BPR_Recommender,374,60,0.005661729430482414,0.006538381152743698,0.004551378423571823
SLIM_BPR_Recommender,127,77,0.0021372353985755948,0.000527427189385954,0.004569630041221683
SLIM_BPR_Recommender,482,43,0.0005257237522893514,0.00010308618731841154,0.0045221505909632765
SLIM_BPR_Recommender,331,100,0.00837471168550062,0.005522761745407887,0.004609036487684281
SLIM_BPR_Recommender,302,26,0.0030282806441425665,0.0008251726632233173,0.004545534304397871
SLIM_BPR_Recommender,476,100,0.009563705565214098,0.002818603333585479,0.004573417861631081
SLIM_BPR_Recommender,443,86,0.008994510998704316,0.001314604030174174,0.00456001743730458
SLIM_BPR_Recommender,356,92,0.0017853790988792224,0.009979675392750253,0.004586945613922237
SLIM_BPR_Recommender,395,85,0.008735223125697501,0.004099518011829462,0.004558795314930835
SLIM_BPR_Recommender,339,47,0.0017319428535075671,0.0064213915080540045,0.004552641007110462
SLIM_BPR_Recommender,217,18,0.009022530414295541,0.004485891520213518,0.004492672227560875
SLIM_BPR_Recommender,480,60,0.0008300580838369685,0.006791999773689779,0.0045569548746399345
SLIM_BPR_Recommender,388,18,0.008968574751224095,0.009930186762353235,0.004516916020010917
SLIM_BPR_Recommender,130,82,0.004561351203164774,0.006742446244526708,0.00458128068538593
SLIM_BPR_Recommender,458,76,0.0006839617574248941,0.00595637994220663,0.00456141076092289
SLIM_BPR_Recommender,420,89,0.007991416289810519,0.0068765513508191305,0.0045328415486591035
SLIM_BPR_Recommender,405,89,0.002913372553729725,0.004580502848080524,0.004577590698153001
SLIM_BPR_Recommender,432,24,0.009391535974346638,0.0061348793706228495,0.0044787010539712475
SLIM_BPR_Recommender,454,32,0.0036901639891666585,0.00133695022796835,0.00450596572194608
SLIM_BPR_Recommender,229,71,0.005649782556374418,0.005778542489180542,0.004594241314004172
SLIM_BPR_Recommender,475,11,0.006726652157199942,0.009426023211072802,0.004370446783765402
