recommender,TopK,Epochs,lambda_i,lambda_j,MAP
SLIM_BPR_Recommender,100,100,0.005,0.005,0.004534025784319461
SLIM_BPR_Recommender,500,100,0.004,0.003,0.00459333467718934
SLIM_BPR_Recommender,500,10,0.004,0.005,0.0043957383420714724
SLIM_BPR_Recommender,500,10,0.005,0.005,0.004404376837159058
SLIM_BPR_Recommender,100,100,0.004,0.005,0.004553538919292961
SLIM_BPR_Recommender,500,100,0.004,0.005,0.0045706603456904865
SLIM_BPR_Recommender,500,10,0.004,0.003,0.00438340170516261
SLIM_BPR_Recommender,100,10,0.005,0.005,0.004363741011733147
SLIM_BPR_Recommender,100,10,0.005,0.003,0.004341407660995452
SLIM_BPR_Recommender,100,100,0.005,0.003,0.004540616707952242
SLIM_BPR_Recommender,500,100,0.005,0.003,0.004582272838683433
SLIM_BPR_Recommender,100,100,0.004,0.003,0.00454310722050517
SLIM_BPR_Recommender,100,10,0.004,0.003,0.004343841016960539
SLIM_BPR_Recommender,500,100,0.005,0.005,0.004590792899245534
SLIM_BPR_Recommender,500,10,0.005,0.003,0.004375938579087526
SLIM_BPR_Recommender,100,10,0.004,0.005,0.004369832564713218
