recommender,shrink,topk,MAP
ItemKNNCFRecommender,102.66587313827168,274,0.0042574582598295975
ItemKNNCFRecommender,159.2119658979363,424,0.004298165835543192
ItemKNNCFRecommender,123.35457959819394,213,0.004254652085290208
ItemKNNCFRecommender,73.14431273746527,466,0.004225654515184312
ItemKNNCFRecommender,194.8198097717293,338,0.004346155818753164
ItemKNNCFRecommender,192.5720231324997,389,0.004326557242499741
ItemKNNCFRecommender,167.45429508402194,388,0.0043113330131494
ItemKNNCFRecommender,172.48189400072076,359,0.004322154931364438
ItemKNNCFRecommender,85.36640383464524,186,0.004213027486321213
ItemKNNCFRecommender,125.30577281757468,338,0.004288014067595782
ItemKNNCFRecommender,159.1244613853631,194,0.004303404010386247
ItemKNNCFRecommender,121.56163103477802,142,0.0042236556500839075
ItemKNNCFRecommender,76.45401927619807,309,0.00422205137667876
ItemKNNCFRecommender,137.92093415884784,149,0.004246882181555898
ItemKNNCFRecommender,63.759751096052035,412,0.004208777372032954
ItemKNNCFRecommender,163.46758226446616,297,0.004305573203276556
ItemKNNCFRecommender,85.64111762988027,191,0.004218939776067057
ItemKNNCFRecommender,82.05338793619526,339,0.0042451921196805615
ItemKNNCFRecommender,98.3321158240983,177,0.004240598047074911
ItemKNNCFRecommender,184.10417532927372,143,0.004279367973428129
ItemKNNCFRecommender,148.63286504644282,102,0.004259527037017016
ItemKNNCFRecommender,163.02485652477,179,0.004300972218041936
ItemKNNCFRecommender,92.85484363638534,407,0.004243543929997245
ItemKNNCFRecommender,22.35149998246976,451,0.004164906825263249
ItemKNNCFRecommender,84.89218343768013,228,0.004223830525406287
ItemKNNCFRecommender,175.15673118180652,394,0.004311880111662766
ItemKNNCFRecommender,61.542368634804646,157,0.004158548897109452
ItemKNNCFRecommender,17.839414788279683,424,0.004149009914521982
ItemKNNCFRecommender,113.10530385302152,246,0.004261083553728745
ItemKNNCFRecommender,89.92095654860407,425,0.004235698621764265
ItemKNNCFRecommender,108.01896765778089,237,0.004245535079856062
ItemKNNCFRecommender,18.871754240034555,217,0.004129357480368221
ItemKNNCFRecommender,73.0682668697919,474,0.004223035496178445
ItemKNNCFRecommender,105.74991842470182,447,0.004249189267288147
ItemKNNCFRecommender,162.6818610636949,468,0.004309386460740613
ItemKNNCFRecommender,144.0689994305501,434,0.00428761480910498
ItemKNNCFRecommender,77.57353847201614,490,0.004223659846526488
ItemKNNCFRecommender,53.882298447820176,222,0.004184762280484385
ItemKNNCFRecommender,177.39989056139385,369,0.004315625656213119
ItemKNNCFRecommender,89.36973843374963,471,0.004241548339052682
ItemKNNCFRecommender,90.15013050173299,179,0.004234491099947415
ItemKNNCFRecommender,182.15446858302053,278,0.004329619657645435
ItemKNNCFRecommender,18.410644627289024,461,0.004161663837341647
ItemKNNCFRecommender,84.39023207909408,304,0.004226062376763866
ItemKNNCFRecommender,69.74116217073949,233,0.004202569026344845
ItemKNNCFRecommender,122.17137659094877,181,0.0042631681468940094
ItemKNNCFRecommender,69.09773743647717,158,0.004173726407663111
ItemKNNCFRecommender,129.8613083744143,349,0.00427934647376002
ItemKNNCFRecommender,126.02450407355475,440,0.004268096517573667
ItemKNNCFRecommender,181.7954725455277,218,0.004305975757306373
ItemKNNCFRecommender,196.78602047201898,125,0.004284923661951694
ItemKNNCFRecommender,181.41942991253475,216,0.004310753205978094
ItemKNNCFRecommender,83.84024532937109,401,0.0042335743460414875
ItemKNNCFRecommender,193.88195042536492,118,0.004286687310589899
ItemKNNCFRecommender,186.3461250513377,151,0.004279251591750595
ItemKNNCFRecommender,151.1036727625658,108,0.004266630350288901
ItemKNNCFRecommender,48.06453146647209,436,0.004187717653425536
ItemKNNCFRecommender,113.2910386992949,284,0.00425885118884571
ItemKNNCFRecommender,165.15751479740885,381,0.004305267411419882
ItemKNNCFRecommender,109.16662669352434,443,0.004246091702200482
ItemKNNCFRecommender,142.45683173745672,114,0.004244677863006617
ItemKNNCFRecommender,45.793670452939374,395,0.0041860509756972974
ItemKNNCFRecommender,118.01375749303733,366,0.004260460424473786
ItemKNNCFRecommender,136.13803525615697,295,0.004278135484095166
ItemKNNCFRecommender,189.35511542434503,326,0.004344922487836026
ItemKNNCFRecommender,110.76519560907298,396,0.004257292785097414
ItemKNNCFRecommender,21.260675558921783,229,0.004138704885543135
ItemKNNCFRecommender,76.98852827918964,106,0.004188877955163972
ItemKNNCFRecommender,142.20841815688811,473,0.004294201727862345
ItemKNNCFRecommender,89.19914978887158,120,0.004186039716434741
ItemKNNCFRecommender,146.14351165384767,150,0.0042509752236033335
ItemKNNCFRecommender,102.6522250159985,312,0.004244157411071932
ItemKNNCFRecommender,179.36802413272565,385,0.004316048596739123
ItemKNNCFRecommender,28.41009788990392,230,0.004145378157812112
ItemKNNCFRecommender,92.94099497168372,262,0.004244753314457078
ItemKNNCFRecommender,102.34836286965843,374,0.0042437093450885316
ItemKNNCFRecommender,162.91345298236436,431,0.004294365848783294
ItemKNNCFRecommender,43.823200304129855,444,0.004181721794013058
ItemKNNCFRecommender,11.17936643302199,492,0.004142545782084146
ItemKNNCFRecommender,133.0095477299006,467,0.004286973726604778
ItemKNNCFRecommender,171.1163495691758,283,0.0043165151644184606
ItemKNNCFRecommender,125.73694741221752,476,0.004280292602407331
ItemKNNCFRecommender,190.8122991616786,422,0.004314864332790037
ItemKNNCFRecommender,181.9426891524377,318,0.004325711567695577
ItemKNNCFRecommender,72.96014731684897,466,0.004224961015059876
ItemKNNCFRecommender,181.33824298470913,426,0.004311033058980237
ItemKNNCFRecommender,68.01117591796148,488,0.0042111128388001495
ItemKNNCFRecommender,97.8756048213502,423,0.004240694524336937
ItemKNNCFRecommender,96.37509749564826,497,0.0042457866961485334
ItemKNNCFRecommender,19.204680701549574,286,0.004148995592526888
ItemKNNCFRecommender,42.10585798505888,147,0.004125448544015655
ItemKNNCFRecommender,151.93454395708133,229,0.004284367789439791
ItemKNNCFRecommender,129.80110009771934,252,0.004283113143359426
ItemKNNCFRecommender,137.73046988731903,190,0.004274584395605262
ItemKNNCFRecommender,181.55105485517572,398,0.004312482684949556
ItemKNNCFRecommender,160.50121342511667,444,0.004294781102418523
ItemKNNCFRecommender,151.8006100761578,314,0.004299094019857462
ItemKNNCFRecommender,22.28164833729008,340,0.004172015143205005
ItemKNNCFRecommender,141.14988937105315,481,0.004294038622324532
ItemKNNCFRecommender,98.1421916049595,105,0.0042090506682167005
ItemKNNCFRecommender,88.25428755128938,159,0.004209471152780327
ItemKNNCFRecommender,194.64838425759777,345,0.004342556755360633
ItemKNNCFRecommender,40.22217903697812,480,0.00418406922810772
ItemKNNCFRecommender,100.23917784734269,248,0.004245885050964259
ItemKNNCFRecommender,132.58282751739347,114,0.004233546867729139
ItemKNNCFRecommender,188.55228516780798,456,0.004327483588955207
ItemKNNCFRecommender,37.53937983013718,352,0.004175298497274853
ItemKNNCFRecommender,193.3255754650747,138,0.004278624594320535
ItemKNNCFRecommender,85.80926837129421,456,0.004234191648083067
ItemKNNCFRecommender,35.7504985805776,155,0.004112938539820226
ItemKNNCFRecommender,188.11270573507406,104,0.004292294067039289
ItemKNNCFRecommender,13.178707565238849,466,0.004158830131422829
ItemKNNCFRecommender,164.44629154102694,330,0.0043301049971808826
ItemKNNCFRecommender,144.09458142254266,320,0.0043009813311700625
ItemKNNCFRecommender,143.5653612850984,287,0.004294109629073753
ItemKNNCFRecommender,33.98851763165126,360,0.0041644335172392796
ItemKNNCFRecommender,81.23822693399114,394,0.004228436744180267
ItemKNNCFRecommender,177.91848760760215,329,0.00433363336004067
ItemKNNCFRecommender,108.90636696564233,164,0.00423540203861033
ItemKNNCFRecommender,146.6654041041327,339,0.004307971415237591
