recommender,alpha,l1_ratio,TopK,MAP
ItemKNNCFRecommender,23,976,rp3beta,tfidf,0.004949055370634771
ItemKNNCFRecommender,32,873,rp3beta,tfidf,0.004975101333718781
ItemKNNCFRecommender,53,654,rp3beta,bm25plus,0.004955517275221481
ItemKNNCFRecommender,42,587,rp3beta,tfidf,0.004952755595530426
ItemKNNCFRecommender,67,950,rp3beta,tfidf,0.004958340812670675
ItemKNNCFRecommender,28,916,rp3beta,tfidf,0.004962112425556449
ItemKNNCFRecommender,36,903,rp3beta,tfidf,0.004992958338193896
ItemKNNCFRecommender,59,798,rp3beta,tfidf,0.004966329064432343
ItemKNNCFRecommender,39,894,rp3beta,tfidf,0.004988168559816298
ItemKNNCFRecommender,46,982,rp3beta,tfidf,0.004980314506410431
ItemKNNCFRecommender,33,851,rp3beta,tfidf,0.004976294934733462
ItemKNNCFRecommender,37,949,rp3beta,tfidf,0.004989583967421156
ItemKNNCFRecommender,36,999,rp3beta,tfidf,0.00499278063338679
ItemKNNCFRecommender,36,946,rp3beta,tfidf,0.0049939722812827195
ItemKNNCFRecommender,42,996,rp3beta,tfidf,0.004990034171872098
ItemKNNCFRecommender,16,995,rp3beta,tfidf,0.00491231271546826
ItemKNNCFRecommender,48,1000,rp3beta,tfidf,0.0049789156479442065
ItemKNNCFRecommender,44,948,rp3beta,tfidf,0.0049917264602365174
ItemKNNCFRecommender,42,924,rp3beta,tfidf,0.004991799293791494
ItemKNNCFRecommender,25,924,rp3beta,tfidf,0.004954393356116922
ItemKNNCFRecommender,55,953,rp3beta,tfidf,0.004971938994662472
ItemKNNCFRecommender,41,898,rp3beta,tfidf,0.00499155388584399
ItemKNNCFRecommender,138,905,rp3beta,tfidf,0.004792780549514038
ItemKNNCFRecommender,36,933,rp3beta,tfidf,0.005000330227289994
ItemKNNCFRecommender,21,977,rp3beta,bm25plus,0.004907283242613474
ItemKNNCFRecommender,36,936,rp3beta,tfidf,0.0049989677917473664
ItemKNNCFRecommender,36,941,rp3beta,tfidf,0.004996453422019371
ItemKNNCFRecommender,29,937,rp3beta,tfidf,0.004968202228145942
ItemKNNCFRecommender,35,962,rp3beta,tfidf,0.0049910967018373725
ItemKNNCFRecommender,36,933,rp3beta,tfidf,0.005000330227289994
ItemKNNCFRecommender,36,934,rp3beta,tfidf,0.004999638543504544
ItemKNNCFRecommender,26,921,rp3beta,tfidf,0.004951392369774313
