recommender,alpha,l1_ratio,TopK,MAP
ItemKNNCFRecommender,51,990,rp3beta,bm25plus,0.005001005658968697
ItemKNNCFRecommender,111,480,rp3beta,tfidf,0.004837332185776243
ItemKNNCFRecommender,14,932,rp3beta,tfidf,0.004873874680153444
ItemKNNCFRecommender,35,373,rp3beta,tfidf,0.004887466854148852
ItemKNNCFRecommender,16,432,rp3beta,bm25plus,0.00472983307168915
ItemKNNCFRecommender,55,320,rp3beta,tfidf,0.004882898341935011
ItemKNNCFRecommender,195,101,rp3beta,bm25plus,0.0048141308326285605
ItemKNNCFRecommender,39,679,rp3beta,tfidf,0.004957528855600358
ItemKNNCFRecommender,182,731,rp3beta,tfidf,0.004714561932981888
ItemKNNCFRecommender,183,361,rp3beta,bm25plus,0.004829408113711663
ItemKNNCFRecommender,89,993,rp3beta,bm25plus,0.004983120136994362
ItemKNNCFRecommender,86,990,rp3beta,bm25plus,0.004982942949112724
ItemKNNCFRecommender,105,829,rp3beta,bm25plus,0.004950666723561259
ItemKNNCFRecommender,72,847,rp3beta,bm25plus,0.004988244858919311
ItemKNNCFRecommender,145,825,rp3beta,bm25plus,0.004894811043187947
ItemKNNCFRecommender,64,620,rp3beta,bm25plus,0.004945681567877158
ItemKNNCFRecommender,72,862,rp3beta,bm25plus,0.004991674748641774
ItemKNNCFRecommender,135,755,rp3beta,bm25plus,0.00491309702740753
ItemKNNCFRecommender,44,574,rp3beta,bm25plus,0.004900997006581125
ItemKNNCFRecommender,128,901,rp3beta,bm25plus,0.004916839258262764
ItemKNNCFRecommender,82,158,rp3beta,bm25plus,0.0048426832173126275
ItemKNNCFRecommender,66,856,rp3beta,bm25plus,0.004994158698888304
ItemKNNCFRecommender,50,915,rp3beta,bm25plus,0.0049951869212213375
ItemKNNCFRecommender,28,937,rp3beta,bm25plus,0.004918515222631047
ItemKNNCFRecommender,53,760,rp3beta,bm25plus,0.0049641760635849045
ItemKNNCFRecommender,55,985,rp3beta,bm25plus,0.004990859734483308
ItemKNNCFRecommender,101,900,rp3beta,bm25plus,0.004974521256423003
ItemKNNCFRecommender,25,688,rp3beta,bm25plus,0.0048594048781184125
ItemKNNCFRecommender,67,797,rp3beta,bm25plus,0.005002872115756795
ItemKNNCFRecommender,47,795,rp3beta,tfidf,0.005000582167800746
ItemKNNCFRecommender,120,618,rp3beta,tfidf,0.004834149073959164
ItemKNNCFRecommender,52,783,rp3beta,tfidf,0.004990267368931851
ItemKNNCFRecommender,10,930,rp3beta,tfidf,0.004855723875375297
ItemKNNCFRecommender,40,500,rp3beta,tfidf,0.004931439079003628
ItemKNNCFRecommender,31,699,rp3beta,tfidf,0.004935918264063715
ItemKNNCFRecommender,63,799,rp3beta,tfidf,0.004943866104098634
ItemKNNCFRecommender,95,937,rp3beta,tfidf,0.004888343391941841
ItemKNNCFRecommender,21,897,rp3beta,tfidf,0.004935720251670787
ItemKNNCFRecommender,78,955,rp3beta,bm25plus,0.004986569323588417
ItemKNNCFRecommender,49,879,rp3beta,tfidf,0.0049859581318810785
ItemKNNCFRecommender,34,646,rp3beta,bm25plus,0.004899943407916242
ItemKNNCFRecommender,65,830,rp3beta,bm25plus,0.004992355950708885
ItemKNNCFRecommender,60,729,rp3beta,bm25plus,0.004966028136540982
ItemKNNCFRecommender,43,790,rp3beta,bm25plus,0.004950090576175993
ItemKNNCFRecommender,77,967,rp3beta,bm25plus,0.004986218695790757
ItemKNNCFRecommender,91,855,rp3beta,bm25plus,0.004973884640563809
ItemKNNCFRecommender,69,890,rp3beta,bm25plus,0.004989253521850115
ItemKNNCFRecommender,45,998,rp3beta,bm25plus,0.004988638240920384
ItemKNNCFRecommender,58,255,rp3beta,bm25plus,0.004844362748946104
ItemKNNCFRecommender,36,816,rp3beta,tfidf,0.004973782713471708
ItemKNNCFRecommender,166,732,rp3beta,bm25plus,0.004883091147574057
ItemKNNCFRecommender,73,827,rp3beta,bm25plus,0.004983039647000518
ItemKNNCFRecommender,67,855,rp3beta,bm25plus,0.004990576307515229
ItemKNNCFRecommender,62,421,rp3beta,bm25plus,0.004917569989659031
ItemKNNCFRecommender,82,910,rp3beta,bm25plus,0.004997311303736097
ItemKNNCFRecommender,19,924,rp3beta,bm25plus,0.004858485264281517
ItemKNNCFRecommender,83,965,rp3beta,bm25plus,0.004984231577138027
ItemKNNCFRecommender,48,868,rp3beta,bm25plus,0.004983581825912651
ItemKNNCFRecommender,98,917,rp3beta,bm25plus,0.004977793120242925
ItemKNNCFRecommender,106,766,rp3beta,bm25plus,0.004942378860989268
ItemKNNCFRecommender,115,963,rp3beta,bm25plus,0.00493994771285339
ItemKNNCFRecommender,56,827,rp3beta,bm25plus,0.004990639552184103
ItemKNNCFRecommender,87,874,rp3beta,bm25plus,0.004984441239767687
ItemKNNCFRecommender,74,804,rp3beta,bm25plus,0.004978818434392009
ItemKNNCFRecommender,67,715,rp3beta,bm25plus,0.004980240141059195
ItemKNNCFRecommender,79,665,rp3beta,bm25plus,0.0049685554131775195
ItemKNNCFRecommender,52,757,rp3beta,tfidf,0.004977344964716366
ItemKNNCFRecommender,40,909,rp3beta,bm25plus,0.00495786356087275
