recommender,alpha,l1_ratio,TopK,MAP
ItemKNNCFRecommender,83,269,rp3beta,bm25plus,0.004874335652384382
ItemKNNCFRecommender,79,853,rp3beta,tfidf,0.0049322619286511155
ItemKNNCFRecommender,28,353,rp3beta,bm25plus,0.0047811580470767156
ItemKNNCFRecommender,107,791,rp3beta,tfidf,0.004874410781817973
ItemKNNCFRecommender,92,575,rp3beta,tfidf,0.004889605576050004
ItemKNNCFRecommender,63,604,rp3beta,tfidf,0.004938583639672553
ItemKNNCFRecommender,41,734,rp3beta,bm25plus,0.004936794490860337
ItemKNNCFRecommender,105,650,rp3beta,tfidf,0.004862618655301485
ItemKNNCFRecommender,68,498,rp3beta,tfidf,0.004910397517017054
ItemKNNCFRecommender,30,747,rp3beta,bm25plus,0.004886365120861565
ItemKNNCFRecommender,164,998,rp3beta,tfidf,0.004743982794220798
ItemKNNCFRecommender,46,462,rp3beta,bm25plus,0.004899870923636099
ItemKNNCFRecommender,12,135,rp3beta,bm25plus,0.004577990104442303
ItemKNNCFRecommender,140,644,rp3beta,bm25plus,0.0048828740990835
ItemKNNCFRecommender,60,979,rp3beta,tfidf,0.004985978579204881
ItemKNNCFRecommender,129,957,rp3beta,tfidf,0.004798640342941667
ItemKNNCFRecommender,198,913,rp3beta,tfidf,0.004691385191290501
ItemKNNCFRecommender,56,341,rp3beta,tfidf,0.004887308325207053
ItemKNNCFRecommender,60,163,rp3beta,tfidf,0.004839090780904582
ItemKNNCFRecommender,16,851,rp3beta,tfidf,0.0048964279694410735
ItemKNNCFRecommender,129,415,rp3beta,tfidf,0.004830985608174088
ItemKNNCFRecommender,41,697,rp3beta,bm25plus,0.004928044787932968
ItemKNNCFRecommender,68,602,rp3beta,bm25plus,0.004946997041113671
ItemKNNCFRecommender,64,575,rp3beta,bm25plus,0.004954699199060351
ItemKNNCFRecommender,90,506,rp3beta,bm25plus,0.004937551251761194
ItemKNNCFRecommender,70,552,rp3beta,bm25plus,0.004932021504622428
ItemKNNCFRecommender,99,236,rp3beta,bm25plus,0.004872807173165249
ItemKNNCFRecommender,51,824,rp3beta,bm25plus,0.0049890379035353975
ItemKNNCFRecommender,48,885,rp3beta,bm25plus,0.0049808479718581105
ItemKNNCFRecommender,49,893,rp3beta,bm25plus,0.004989918154890842
ItemKNNCFRecommender,32,808,rp3beta,bm25plus,0.00492637223829058
ItemKNNCFRecommender,50,899,rp3beta,bm25plus,0.0049972523338437675
ItemKNNCFRecommender,81,925,rp3beta,bm25plus,0.0049951509544556025
ItemKNNCFRecommender,22,928,rp3beta,bm25plus,0.00488977959450486
ItemKNNCFRecommender,81,835,rp3beta,bm25plus,0.00498772792868086
ItemKNNCFRecommender,78,896,rp3beta,bm25plus,0.00498606745027259
ItemKNNCFRecommender,50,776,rp3beta,bm25plus,0.004966014667877308
ItemKNNCFRecommender,34,869,rp3beta,bm25plus,0.0049321960029774245
ItemKNNCFRecommender,116,949,rp3beta,bm25plus,0.004935783332426194
ItemKNNCFRecommender,89,817,rp3beta,bm25plus,0.004986450174033996
ItemKNNCFRecommender,76,691,rp3beta,bm25plus,0.0049736328187319516
ItemKNNCFRecommender,86,844,rp3beta,bm25plus,0.004984972966006705
ItemKNNCFRecommender,77,776,rp3beta,bm25plus,0.004975178543808657
ItemKNNCFRecommender,52,733,rp3beta,bm25plus,0.004961332242946187
ItemKNNCFRecommender,99,832,rp3beta,bm25plus,0.004972244165007455
ItemKNNCFRecommender,39,992,rp3beta,bm25plus,0.004966583069900819
ItemKNNCFRecommender,24,925,rp3beta,bm25plus,0.00490489009957532
ItemKNNCFRecommender,72,875,rp3beta,bm25plus,0.004984808568804543
ItemKNNCFRecommender,114,954,rp3beta,bm25plus,0.004938895484349989
ItemKNNCFRecommender,84,755,rp3beta,bm25plus,0.004971208656707961
ItemKNNCFRecommender,41,671,rp3beta,bm25plus,0.0049182848953675815
ItemKNNCFRecommender,58,797,rp3beta,bm25plus,0.004992131778155162
ItemKNNCFRecommender,56,897,rp3beta,bm25plus,0.004992857878821671
ItemKNNCFRecommender,54,907,rp3beta,bm25plus,0.0049925849415648005
ItemKNNCFRecommender,63,910,rp3beta,bm25plus,0.004990266836689582
ItemKNNCFRecommender,59,976,rp3beta,bm25plus,0.004988255757567052
ItemKNNCFRecommender,62,935,rp3beta,bm25plus,0.004983758496375887
ItemKNNCFRecommender,66,908,rp3beta,bm25plus,0.004991057302495294
ItemKNNCFRecommender,95,967,rp3beta,bm25plus,0.004980370259470781
ItemKNNCFRecommender,70,1000,rp3beta,bm25plus,0.004992621428020846
ItemKNNCFRecommender,55,999,rp3beta,tfidf,0.004977049844439932
ItemKNNCFRecommender,69,862,rp3beta,bm25plus,0.004995118027263158
ItemKNNCFRecommender,75,862,rp3beta,bm25plus,0.00498381756759939
ItemKNNCFRecommender,43,945,rp3beta,bm25plus,0.004979556709983822
ItemKNNCFRecommender,70,795,rp3beta,bm25plus,0.004993249523698922
ItemKNNCFRecommender,194,867,rp3beta,bm25plus,0.0048133603363771675
ItemKNNCFRecommender,70,973,rp3beta,bm25plus,0.004992545715353761
ItemKNNCFRecommender,105,723,rp3beta,bm25plus,0.004948471050143393
ItemKNNCFRecommender,36,912,rp3beta,tfidf,0.0049960675341590675
ItemKNNCFRecommender,35,931,rp3beta,tfidf,0.004996653956941706
ItemKNNCFRecommender,11,852,rp3beta,tfidf,0.004847473428707282
ItemKNNCFRecommender,17,929,rp3beta,tfidf,0.0049267283569553325
ItemKNNCFRecommender,36,897,rp3beta,tfidf,0.004991374738976145
ItemKNNCFRecommender,47,960,rp3beta,tfidf,0.004988480037683834
ItemKNNCFRecommender,25,884,rp3beta,tfidf,0.00495425763880087
ItemKNNCFRecommender,28,795,rp3beta,tfidf,0.00495359574883314
ItemKNNCFRecommender,45,997,rp3beta,tfidf,0.004976323453583342
ItemKNNCFRecommender,36,936,rp3beta,tfidf,0.0049989677917473664
ItemKNNCFRecommender,33,824,rp3beta,tfidf,0.0049757060667716705
ItemKNNCFRecommender,20,365,rp3beta,tfidf,0.004805446359595127
ItemKNNCFRecommender,36,772,rp3beta,tfidf,0.004962561422931101
ItemKNNCFRecommender,66,936,rp3beta,tfidf,0.004963004553035761
