recommender,alpha,l1_ratio,TopK,MAP
ItemKNNCFRecommender,40,657,rp3beta,bm25plus,0.004914026099196801
ItemKNNCFRecommender,44,834,rp3beta,tfidf,0.004992206201293161
ItemKNNCFRecommender,18,975,rp3beta,tfidf,0.004924899655447898
ItemKNNCFRecommender,11,886,rp3beta,bm25plus,0.004792021575255414
ItemKNNCFRecommender,20,101,rp3beta,tfidf,0.004691357141572555
ItemKNNCFRecommender,183,317,rp3beta,bm25plus,0.004842976351951927
ItemKNNCFRecommender,196,635,rp3beta,bm25plus,0.004832837284847121
ItemKNNCFRecommender,70,964,rp3beta,tfidf,0.004943921513124308
ItemKNNCFRecommender,182,148,rp3beta,tfidf,0.004699213545025937
ItemKNNCFRecommender,149,473,rp3beta,tfidf,0.004764627406948421
ItemKNNCFRecommender,95,748,rp3beta,tfidf,0.004893307519452515
ItemKNNCFRecommender,71,819,rp3beta,tfidf,0.004937896802927637
ItemKNNCFRecommender,64,986,rp3beta,tfidf,0.004966117580652151
ItemKNNCFRecommender,58,756,rp3beta,tfidf,0.004971738678493566
ItemKNNCFRecommender,109,550,rp3beta,tfidf,0.004860270201561344
ItemKNNCFRecommender,47,752,rp3beta,tfidf,0.0049760142698692155
ItemKNNCFRecommender,114,422,rp3beta,tfidf,0.004841865184304771
ItemKNNCFRecommender,41,669,rp3beta,tfidf,0.0049576480435694565
ItemKNNCFRecommender,90,842,rp3beta,bm25plus,0.004977559546974966
ItemKNNCFRecommender,91,870,rp3beta,bm25plus,0.004982964895996103
ItemKNNCFRecommender,133,884,rp3beta,bm25plus,0.004909275405357008
ItemKNNCFRecommender,91,863,rp3beta,bm25plus,0.004978774862530775
ItemKNNCFRecommender,130,897,rp3beta,bm25plus,0.004916348407039175
ItemKNNCFRecommender,86,795,rp3beta,bm25plus,0.004988307741497826
ItemKNNCFRecommender,84,789,rp3beta,bm25plus,0.004978670903211388
ItemKNNCFRecommender,116,584,rp3beta,bm25plus,0.004921475555134416
ItemKNNCFRecommender,79,684,rp3beta,bm25plus,0.004972256584843063
ItemKNNCFRecommender,49,925,rp3beta,bm25plus,0.0049980033624803764
ItemKNNCFRecommender,32,717,rp3beta,bm25plus,0.004897547802412036
ItemKNNCFRecommender,54,934,rp3beta,bm25plus,0.004986477310395931
ItemKNNCFRecommender,32,820,rp3beta,bm25plus,0.004929312926803822
ItemKNNCFRecommender,55,934,rp3beta,bm25plus,0.004986056389885603
ItemKNNCFRecommender,50,998,rp3beta,bm25plus,0.0050053808421734345
ItemKNNCFRecommender,24,988,rp3beta,bm25plus,0.004909098727592788
ItemKNNCFRecommender,45,920,rp3beta,bm25plus,0.004978740914335936
ItemKNNCFRecommender,31,994,rp3beta,bm25plus,0.004942345784696195
ItemKNNCFRecommender,11,931,rp3beta,bm25plus,0.004797525734386369
ItemKNNCFRecommender,68,799,rp3beta,bm25plus,0.0049985085924894425
ItemKNNCFRecommender,66,627,rp3beta,bm25plus,0.004946296862548725
ItemKNNCFRecommender,47,461,rp3beta,bm25plus,0.004899556117132259
ItemKNNCFRecommender,75,953,rp3beta,tfidf,0.004922982173136179
ItemKNNCFRecommender,60,800,rp3beta,bm25plus,0.004994322438780122
ItemKNNCFRecommender,59,276,rp3beta,bm25plus,0.004856217813563903
ItemKNNCFRecommender,37,846,rp3beta,bm25plus,0.004942979119269952
ItemKNNCFRecommender,67,721,rp3beta,bm25plus,0.004982592524931247
ItemKNNCFRecommender,25,791,rp3beta,bm25plus,0.004877919762057374
ItemKNNCFRecommender,103,895,rp3beta,tfidf,0.004880316861833678
ItemKNNCFRecommender,17,999,rp3beta,tfidf,0.004925637404426446
