recommender,shrink,topk,similarity,feature_weighting,normalization,ICMweight,MAP
ItemKNNCFRecommender,636.4348208064654,639,dice,bm25,tfidf,59,0.016243713167014676
ItemKNNCFRecommender,1954.5913100547687,4577,jaccard,bm25,bm25plus,80,0.01717852832007292
ItemKNNCFRecommender,1199.0728969698753,5964,jaccard,bm25,bm25plus,96,0.017136273897897212
ItemKNNCFRecommender,1271.8584562189415,1063,rp3beta,bm25plus,bm25plus,99,0.006061732235326646
ItemKNNCFRecommender,1649.0989340164128,4215,cosine,tfidf,bm25plus,78,0.013464913170916295
ItemKNNCFRecommender,837.9309152060616,5330,rp3beta,bm25,tfidf,50,0.006159202336207999
ItemKNNCFRecommender,1825.0851603657072,637,rp3beta,bm25,tfidf,99,0.0060521649276181234
ItemKNNCFRecommender,1242.786955823365,3534,asym,bm25,tfidf,72,0.016729956695179408
ItemKNNCFRecommender,1133.9506472723763,903,rp3beta,tfidf,tfidf,87,0.012729670483813961
ItemKNNCFRecommender,1989.3407390997588,4700,jaccard,tfidf,tfidf,90,0.012765516558170445
ItemKNNCFRecommender,1575.1924409065243,2217,jaccard,bm25plus,bm25,72,0.016985552587688413
ItemKNNCFRecommender,980.3755257466324,5790,jaccard,bm25,bm25plus,84,0.017130468809085333
ItemKNNCFRecommender,1452.8830896201453,5142,jaccard,bm25,bm25plus,64,0.01714820028533414
ItemKNNCFRecommender,1513.0441087000663,4449,jaccard,bm25,bm25plus,64,0.0171573721261883
ItemKNNCFRecommender,1999.3708690525366,3456,asym,bm25,bm25,63,0.017193031278169835
ItemKNNCFRecommender,1925.616034489127,2828,asym,bm25plus,bm25,79,0.017000757300046583
ItemKNNCFRecommender,1746.135950888346,3609,asym,bm25,bm25,50,0.017202846387812925
ItemKNNCFRecommender,1768.4427362263332,3579,asym,bm25,bm25,56,0.017200237136825117
ItemKNNCFRecommender,1732.8180851303389,2325,asym,tfidf,bm25,56,0.009281562563943491
ItemKNNCFRecommender,1431.7366109063742,3966,asym,bm25plus,bm25,50,0.016965898228039317
ItemKNNCFRecommender,1778.3580273395864,2646,dice,bm25,bm25,56,0.01742559031915955
ItemKNNCFRecommender,1737.6062382579487,2751,dice,bm25,bm25,57,0.017424947046189455
ItemKNNCFRecommender,1803.5579265971348,1795,dice,bm25,bm25,54,0.017411357131106628
ItemKNNCFRecommender,1572.325029017959,1796,dice,bm25,bm25,68,0.01737913670455046
ItemKNNCFRecommender,1845.10134387893,2818,dice,bm25,bm25,55,0.017423865775470438
ItemKNNCFRecommender,1366.7201643762755,2904,dice,bm25,bm25,58,0.01736836438577757
ItemKNNCFRecommender,1657.911129295014,2888,dice,bm25,bm25,61,0.01741830558937581
ItemKNNCFRecommender,1862.9089854209517,2275,dice,tfidf,bm25,68,0.010545452698355934
ItemKNNCFRecommender,1635.0027785587804,1589,dice,bm25,bm25,53,0.017362195598182886
ItemKNNCFRecommender,562.3581367303037,2591,dice,bm25plus,bm25,60,0.01669787804662271
ItemKNNCFRecommender,1867.4738331457418,3170,cosine,bm25,bm25,67,0.017189499629796264
ItemKNNCFRecommender,1681.8138609090945,3074,dice,bm25,bm25,60,0.01742850042371655
ItemKNNCFRecommender,1676.7260632254183,3145,dice,bm25,bm25,58,0.01743719525108982
ItemKNNCFRecommender,1665.2431108249625,3228,dice,bm25,bm25,58,0.01743919870211487
ItemKNNCFRecommender,1392.0537376621635,3907,dice,bm25,bm25,61,0.017386240950295645
ItemKNNCFRecommender,1513.7751505621516,3216,dice,bm25,bm25,59,0.017418006560899958
ItemKNNCFRecommender,1668.3058826953184,3180,cosine,bm25,bm25,72,0.01719499266439312
ItemKNNCFRecommender,711.4316677153985,2486,dice,bm25,bm25,53,0.01726695295111894
ItemKNNCFRecommender,1317.100419016244,3868,dice,bm25,tfidf,65,0.016578074241281996
ItemKNNCFRecommender,1122.624571474888,2026,dice,bm25plus,bm25plus,76,0.01696116772312942
