recommender,shrink,topk,similarity,normalization,ICMweight,MAP
ItemKNNCFRecommender,198.34541051839727,208,cosine,bm25,82,0.017036976010997313
ItemKNNCFRecommender,26.09580798093324,295,jaccard,bm25,88,0.017003190265660908
ItemKNNCFRecommender,145.0684157637417,208,dice,bm25,99,0.016903783010110248
ItemKNNCFRecommender,193.34896758762918,144,rp3beta,bm25plus,68,0.015040327393529415
ItemKNNCFRecommender,53.46126965844585,199,cosine,bm25,86,0.016963393079151134
ItemKNNCFRecommender,144.21620021365172,241,cosine,bm25,52,0.017012051981758685
ItemKNNCFRecommender,30.527277837365357,368,cosine,tfidf,81,0.016155877387526104
ItemKNNCFRecommender,23.89549162557599,142,cosine,bm25,99,0.016922303547585373
ItemKNNCFRecommender,143.76878438053407,135,cosine,bm25plus,60,0.016660010452413426
ItemKNNCFRecommender,169.76318027077807,178,jaccard,tfidf,100,0.015984470438036223
ItemKNNCFRecommender,88.49259858575584,325,asym,tfidf,72,0.016149059829695712
ItemKNNCFRecommender,198.78878507962136,248,cosine,bm25,51,0.017013357454343094
ItemKNNCFRecommender,197.8152176393222,274,rp3beta,bm25,51,0.014627276507373754
ItemKNNCFRecommender,106.45952255306528,235,dice,bm25,68,0.016903959815127996
ItemKNNCFRecommender,169.22481602538778,317,asym,bm25plus,79,0.01676531939997145
ItemKNNCFRecommender,173.83879513937924,106,cosine,bm25,60,0.016923299586375385
ItemKNNCFRecommender,115.95104810719639,268,cosine,bm25,87,0.01701452888102105
ItemKNNCFRecommender,103.0814386602599,377,cosine,bm25,90,0.017041741094972848
ItemKNNCFRecommender,78.56593897276296,392,dice,tfidf,92,0.01601947940036401
ItemKNNCFRecommender,124.9794060049312,351,jaccard,bm25plus,93,0.01676628035638006
ItemKNNCFRecommender,86.06008178137738,400,rp3beta,bm25,80,0.015817277158586357
ItemKNNCFRecommender,112.85505828573258,279,cosine,bm25,85,0.01703709153186312
ItemKNNCFRecommender,59.567415421257735,335,cosine,bm25,83,0.0170183263418448
ItemKNNCFRecommender,126.43768066767831,291,cosine,bm25,92,0.017029544041500613
ItemKNNCFRecommender,95.37155666145074,215,cosine,bm25,75,0.017004431721684685
ItemKNNCFRecommender,77.56548645435362,372,asym,bm25,76,0.01703595534046812
ItemKNNCFRecommender,65.21632614993885,175,cosine,bm25,84,0.016974847069512477
ItemKNNCFRecommender,131.53558781020234,294,cosine,tfidf,94,0.016144460652726237
ItemKNNCFRecommender,103.42343044198108,182,cosine,bm25,90,0.01699693352331323
ItemKNNCFRecommender,44.203464856544805,266,jaccard,bm25plus,88,0.016719379224537468
ItemKNNCFRecommender,158.89152140770662,313,asym,bm25,96,0.01705178377710047
ItemKNNCFRecommender,157.04315677550846,314,asym,bm25,95,0.01704565734702068
ItemKNNCFRecommender,183.45910753846658,311,asym,bm25,97,0.017050968761917897
ItemKNNCFRecommender,157.7300964054463,318,asym,bm25,95,0.017048676333893495
ItemKNNCFRecommender,180.90877566682784,312,asym,bm25,96,0.017052411379959744
ItemKNNCFRecommender,183.1672013508798,350,asym,bm25,96,0.017059388622155114
ItemKNNCFRecommender,183.0443356782676,348,asym,bm25,97,0.017059249584497612
ItemKNNCFRecommender,183.91432943182053,350,asym,bm25,98,0.017059597486867754
ItemKNNCFRecommender,184.52439938105007,355,asym,bm25,98,0.017054453410181608
ItemKNNCFRecommender,186.30188281311595,350,asym,bm25plus,100,0.016746992713603363
ItemKNNCFRecommender,189.84371328251362,347,asym,bm25,99,0.01706100203113275
ItemKNNCFRecommender,189.67519305794644,353,asym,bm25,98,0.017059468251881028
ItemKNNCFRecommender,192.5925822228503,337,asym,bm25,100,0.01704774024312456
ItemKNNCFRecommender,173.59327611705388,382,asym,bm25,91,0.017054549809771103
ItemKNNCFRecommender,164.7947922784046,361,asym,tfidf,98,0.01619758170986657
ItemKNNCFRecommender,143.79408916134565,330,asym,bm25,97,0.017041451686525298
ItemKNNCFRecommender,191.7411783933642,340,asym,bm25,89,0.017057599550925326
ItemKNNCFRecommender,177.5761485378555,366,rp3beta,bm25,94,0.014779045293780843
ItemKNNCFRecommender,199.1230695875485,382,dice,bm25,100,0.016981701635701285
ItemKNNCFRecommender,163.1960458613209,349,asym,tfidf,93,0.016186357907003922
ItemKNNCFRecommender,152.93996680063574,390,asym,bm25plus,98,0.016773645244939937
ItemKNNCFRecommender,190.77321556671868,345,asym,bm25,90,0.017055165951836065
ItemKNNCFRecommender,189.86656354771657,340,asym,bm25,96,0.01705606798776105
ItemKNNCFRecommender,11.592906922268384,363,asym,bm25,89,0.01702138972339205
ItemKNNCFRecommender,176.28505586785104,325,asym,bm25,98,0.01705373231071695
ItemKNNCFRecommender,167.6970799029447,305,jaccard,bm25,86,0.01703486386920487
ItemKNNCFRecommender,199.04165273643298,371,asym,bm25,54,0.017055946973218383
ItemKNNCFRecommender,181.52487430180724,327,dice,bm25,92,0.01697596074503412
ItemKNNCFRecommender,148.63006531092068,301,asym,bm25,94,0.017024046968420147
ItemKNNCFRecommender,193.00159624787776,399,rp3beta,bm25,71,0.014656059870216316
ItemKNNCFRecommender,171.1549111270924,361,asym,tfidf,100,0.016200326495869086
ItemKNNCFRecommender,188.01558735930072,336,asym,bm25,96,0.017052643608781073
ItemKNNCFRecommender,191.95411807414246,343,asym,bm25,96,0.017053058134625973
ItemKNNCFRecommender,177.53434755379968,284,asym,bm25,93,0.01704818523109022
ItemKNNCFRecommender,185.55944117183387,340,asym,bm25,98,0.017051728941767933
ItemKNNCFRecommender,199.76688308180053,357,asym,bm25,88,0.017049867787201616
ItemKNNCFRecommender,170.97574258648626,379,jaccard,bm25plus,64,0.01675798396885817
ItemKNNCFRecommender,134.09008641581426,325,asym,bm25,91,0.017040522681926615
ItemKNNCFRecommender,191.81319132307917,372,dice,bm25,95,0.01697315792443082
ItemKNNCFRecommender,179.13593387629197,348,asym,bm25,77,0.01706189282436502
ItemKNNCFRecommender,179.77361048701547,231,rp3beta,bm25,78,0.014782565142791743
ItemKNNCFRecommender,187.1949798209023,350,asym,bm25,99,0.01706224240051432
ItemKNNCFRecommender,163.06233699118866,350,asym,bm25,99,0.017058926427256885
ItemKNNCFRecommender,162.51424176756942,353,asym,bm25,99,0.01705791633528761
ItemKNNCFRecommender,182.0355815639967,390,asym,bm25,99,0.01706554144062743
ItemKNNCFRecommender,173.83396210090842,389,asym,bm25,82,0.01706622720606907
ItemKNNCFRecommender,174.78998573405218,388,asym,bm25,72,0.017066882483279047
ItemKNNCFRecommender,171.95614779729362,384,asym,bm25,73,0.01705690659519752
ItemKNNCFRecommender,154.46147719762956,390,asym,tfidf,69,0.016202818431888102
ItemKNNCFRecommender,175.7906224701632,375,jaccard,bm25,77,0.017052885370598545
ItemKNNCFRecommender,167.00667541583266,394,asym,bm25plus,82,0.016767540125699504
ItemKNNCFRecommender,185.92722488458085,367,asym,bm25,74,0.017056592376821052
ItemKNNCFRecommender,196.3762025715433,400,asym,bm25,79,0.017087003666600587
ItemKNNCFRecommender,195.30405499965696,386,asym,bm25,81,0.01706084222042425
ItemKNNCFRecommender,195.94402082138424,390,asym,bm25,80,0.017064096914459547
ItemKNNCFRecommender,195.29189169918357,399,asym,bm25,80,0.01707926051153212
ItemKNNCFRecommender,197.2508741760229,400,asym,bm25,79,0.017085984548724033
ItemKNNCFRecommender,195.59710620051783,398,asym,bm25,80,0.017075715203032447
ItemKNNCFRecommender,196.50143026529352,400,asym,bm25,80,0.017087203888585104
ItemKNNCFRecommender,195.20263210804404,400,dice,bm25,80,0.016995336398086838
ItemKNNCFRecommender,196.40679284661363,392,asym,bm25,84,0.01706353905899046
ItemKNNCFRecommender,196.1370190390408,394,asym,bm25,83,0.017070033602609894
ItemKNNCFRecommender,195.69366792531167,400,asym,bm25,79,0.01708638460307948
ItemKNNCFRecommender,199.71552956695348,400,asym,bm25,82,0.01708686613162293
ItemKNNCFRecommender,195.6064311422121,400,asym,bm25,83,0.017087131284458393
ItemKNNCFRecommender,199.91257948941558,400,rp3beta,bm25,79,0.014608110378619052
ItemKNNCFRecommender,194.86550467986643,376,asym,bm25,83,0.017058236898353053
ItemKNNCFRecommender,199.98990727902768,396,asym,bm25,75,0.01707732101071309
ItemKNNCFRecommender,199.72401515120467,397,asym,tfidf,85,0.016220285073968943
ItemKNNCFRecommender,188.74078840393858,380,asym,bm25plus,75,0.01676490639361838
