recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,64,1975,cosine,tfidf,0.04353491080861511
ItemKNNCFRecommender,53,1778,jaccard,bm25plus,0.044893868132542016
ItemKNNCFRecommender,105,679,dice,bm25plus,0.04440970792552303
ItemKNNCFRecommender,160,1226,jaccard,tfidf,0.04377294817634281
ItemKNNCFRecommender,165,1704,asym,bm25plus,0.044139314006007686
ItemKNNCFRecommender,104,914,rp3beta,bm25plus,0.04028377296134441
ItemKNNCFRecommender,172,782,dice,bm25plus,0.044553058592814
ItemKNNCFRecommender,48,638,dice,bm25,0.045769964342437595
ItemKNNCFRecommender,80,1134,cosine,bm25plus,0.04425067761499151
ItemKNNCFRecommender,94,1711,rp3beta,bm25,0.04009584816032044
ItemKNNCFRecommender,91,1899,jaccard,tfidf,0.043900798328499406
ItemKNNCFRecommender,131,990,jaccard,tfidf,0.04374691175814641
ItemKNNCFRecommender,81,135,jaccard,bm25,0.045498479235007494
ItemKNNCFRecommender,190,1791,jaccard,tfidf,0.04392529610474629
ItemKNNCFRecommender,58,667,dice,bm25plus,0.044439464859005996
ItemKNNCFRecommender,57,214,cosine,tfidf,0.04366542265136628
ItemKNNCFRecommender,51,828,dice,bm25plus,0.04459586588969879
ItemKNNCFRecommender,32,1510,rp3beta,tfidf,0.043115079811890195
ItemKNNCFRecommender,105,735,asym,bm25plus,0.04458993672004443
ItemKNNCFRecommender,142,1992,asym,bm25plus,0.04418390940014629
ItemKNNCFRecommender,46,1548,dice,tfidf,0.04358417388848209
ItemKNNCFRecommender,130,1679,asym,bm25,0.04496464572876891
ItemKNNCFRecommender,182,1783,dice,tfidf,0.0436743404313192
ItemKNNCFRecommender,82,1368,asym,bm25,0.04493499014120001
ItemKNNCFRecommender,99,1724,dice,bm25,0.0456822052797741
ItemKNNCFRecommender,195,632,rp3beta,bm25plus,0.038121013056712026
ItemKNNCFRecommender,189,1161,rp3beta,bm25,0.037458143657188546
ItemKNNCFRecommender,102,729,cosine,bm25plus,0.044560949468561144
ItemKNNCFRecommender,111,1115,jaccard,tfidf,0.043731278199338135
ItemKNNCFRecommender,54,1821,cosine,bm25,0.04501661178508732
ItemKNNCFRecommender,77,1747,cosine,tfidf,0.04360223594613
ItemKNNCFRecommender,188,1281,asym,tfidf,0.04365442182292754
ItemKNNCFRecommender,132,128,asym,bm25plus,0.044291625991722705
ItemKNNCFRecommender,183,1016,dice,bm25plus,0.04450281522599667
ItemKNNCFRecommender,47,1187,dice,bm25,0.045776738594651235
ItemKNNCFRecommender,137,1837,cosine,bm25,0.045004645024229344
ItemKNNCFRecommender,20,1535,rp3beta,bm25plus,0.04330395817813685
ItemKNNCFRecommender,152,549,dice,bm25,0.04560749384487186
ItemKNNCFRecommender,171,1523,dice,tfidf,0.04359202958478601
ItemKNNCFRecommender,110,1726,dice,tfidf,0.04363458056304558
ItemKNNCFRecommender,188,1852,cosine,tfidf,0.04353505109270566
ItemKNNCFRecommender,168,566,cosine,bm25plus,0.044600713601681906
ItemKNNCFRecommender,166,1677,cosine,tfidf,0.04356962571810253
ItemKNNCFRecommender,64,500,asym,bm25plus,0.04453415528512927
ItemKNNCFRecommender,12,359,jaccard,bm25,0.04574602049789925
ItemKNNCFRecommender,61,787,cosine,bm25,0.04540997395628397
ItemKNNCFRecommender,28,1728,asym,bm25,0.045030123502548654
ItemKNNCFRecommender,23,140,rp3beta,tfidf,0.04403131995943913
ItemKNNCFRecommender,158,999,cosine,bm25plus,0.04441082965139093
ItemKNNCFRecommender,170,1827,rp3beta,bm25plus,0.038848800943368095
ItemKNNCFRecommender,16,1066,cosine,bm25,0.04507847816680849
ItemKNNCFRecommender,164,744,asym,tfidf,0.043853688652835954
ItemKNNCFRecommender,158,717,cosine,bm25,0.04536381011923133
ItemKNNCFRecommender,191,329,jaccard,bm25plus,0.04457925567003349
ItemKNNCFRecommender,144,1103,jaccard,bm25,0.04601251718824844
ItemKNNCFRecommender,190,1417,jaccard,tfidf,0.04384664446852901
ItemKNNCFRecommender,30,1420,jaccard,bm25plus,0.04487907551231585
ItemKNNCFRecommender,39,806,dice,bm25plus,0.044590784612939395
ItemKNNCFRecommender,70,729,jaccard,bm25plus,0.04471164548780976
ItemKNNCFRecommender,114,1331,dice,bm25plus,0.04460357075093111
ItemKNNCFRecommender,158,702,rp3beta,tfidf,0.038830678156125904
ItemKNNCFRecommender,126,438,jaccard,bm25,0.04578552441830558
ItemKNNCFRecommender,67,1729,asym,tfidf,0.04357331600372166
ItemKNNCFRecommender,55,1070,dice,bm25plus,0.044438212717816006
ItemKNNCFRecommender,26,235,dice,bm25,0.045549969197038624
ItemKNNCFRecommender,51,267,rp3beta,bm25,0.04217451569385611
ItemKNNCFRecommender,190,1882,rp3beta,bm25plus,0.03843476108663197
ItemKNNCFRecommender,19,207,dice,bm25plus,0.044181625264186224
ItemKNNCFRecommender,82,1808,dice,bm25,0.04574500668791951
ItemKNNCFRecommender,100,644,dice,bm25plus,0.044461687452257724
ItemKNNCFRecommender,84,1118,rp3beta,bm25plus,0.04100120279553706
ItemKNNCFRecommender,16,1830,dice,tfidf,0.043607504824103034
