rec_name,topK,shrink,similarity,feature_weighting,MAP
['UserKNNCFRecommender', 10, 10000, 'tanimoto', 'TF-IDF', 0.004775006662641898]
['UserKNNCFRecommender', 10, 10000, 'cosine', 'none', 0.004820450542218611]
['UserKNNCFRecommender', 10, 10000, 'cosine', 'BM25', 0.0022488562788503916]
['UserKNNCFRecommender', 10, 10000, 'cosine', 'TF-IDF', 0.005775306190157637]
['UserKNNCFRecommender', 10, 10000, 'euclidean', 'none', 0.006036183584338185]
['UserKNNCFRecommender', 10, 10000, 'euclidean', 'BM25', 0.0021363800060138494]
['UserKNNCFRecommender', 10, 10000, 'euclidean', 'TF-IDF', 0.0055684350444862515]
['UserKNNCFRecommender', 10, 10000, 'jaccard', 'none', 0.004705000361297781]
['UserKNNCFRecommender', 10, 10000, 'jaccard', 'BM25', 0.0017436396050743298]
['UserKNNCFRecommender', 10, 10000, 'jaccard', 'TF-IDF', 0.004775006662641898]
['UserKNNCFRecommender', 20, 10, 'tanimoto', 'none', 0.00854068038199683]
['UserKNNCFRecommender', 20, 10, 'tanimoto', 'BM25', 0.0032043529389826158]
['UserKNNCFRecommender', 20, 10, 'tanimoto', 'TF-IDF', 0.008668410802570758]
['UserKNNCFRecommender', 20, 10, 'cosine', 'none', 0.007700715486155431]
['UserKNNCFRecommender', 20, 10, 'cosine', 'BM25', 0.0026462100251198914]
['UserKNNCFRecommender', 20, 10, 'cosine', 'TF-IDF', 0.007932756072716585]
['UserKNNCFRecommender', 20, 10, 'euclidean', 'none', 0.008743726821581978]
['UserKNNCFRecommender', 20, 10, 'euclidean', 'BM25', 0.003132081727889135]
['UserKNNCFRecommender', 20, 10, 'euclidean', 'TF-IDF', 0.008220038313104678]
['UserKNNCFRecommender', 20, 10, 'jaccard', 'none', 0.00854068038199683]
['UserKNNCFRecommender', 20, 10, 'jaccard', 'BM25', 0.0032043529389826158]
['UserKNNCFRecommender', 20, 10, 'jaccard', 'TF-IDF', 0.008668410802570758]
['UserKNNCFRecommender', 20, 50, 'tanimoto', 'none', 0.008395279391963148]
['UserKNNCFRecommender', 20, 50, 'tanimoto', 'BM25', 0.003310453082957844]
['UserKNNCFRecommender', 20, 50, 'tanimoto', 'TF-IDF', 0.00858391568319872]
['UserKNNCFRecommender', 20, 50, 'cosine', 'none', 0.007954792323704312]
['UserKNNCFRecommender', 20, 50, 'cosine', 'BM25', 0.002665328699397896]
['UserKNNCFRecommender', 20, 50, 'cosine', 'TF-IDF', 0.007996381389046386]
['UserKNNCFRecommender', 20, 50, 'euclidean', 'none', 0.008763405895913744]
['UserKNNCFRecommender', 20, 50, 'euclidean', 'BM25', 0.003129952790423177]
['UserKNNCFRecommender', 20, 50, 'euclidean', 'TF-IDF', 0.008211032091789965]
['UserKNNCFRecommender', 20, 50, 'jaccard', 'none', 0.008395279391963148]
['UserKNNCFRecommender', 20, 50, 'jaccard', 'BM25', 0.003310453082957844]
['UserKNNCFRecommender', 20, 50, 'jaccard', 'TF-IDF', 0.00858391568319872]
['UserKNNCFRecommender', 20, 100, 'tanimoto', 'none', 0.008069113934672792]
['UserKNNCFRecommender', 20, 100, 'tanimoto', 'BM25', 0.0032940936748024605]
['UserKNNCFRecommender', 20, 100, 'tanimoto', 'TF-IDF', 0.008256016579294867]
['UserKNNCFRecommender', 20, 100, 'cosine', 'none', 0.008116396353767411]
['UserKNNCFRecommender', 20, 100, 'cosine', 'BM25', 0.0026882186620793354]
['UserKNNCFRecommender', 20, 100, 'cosine', 'TF-IDF', 0.007962847710265758]
['UserKNNCFRecommender', 20, 100, 'euclidean', 'none', 0.008747715665638858]
['UserKNNCFRecommender', 20, 100, 'euclidean', 'BM25', 0.0031311979080469714]
['UserKNNCFRecommender', 20, 100, 'euclidean', 'TF-IDF', 0.008203350629007913]
['UserKNNCFRecommender', 20, 100, 'jaccard', 'none', 0.008069113934672792]
['UserKNNCFRecommender', 20, 100, 'jaccard', 'BM25', 0.0032940936748024605]
['UserKNNCFRecommender', 20, 100, 'jaccard', 'TF-IDF', 0.008256016579294867]
['UserKNNCFRecommender', 20, 500, 'tanimoto', 'none', 0.007188935236012989]
['UserKNNCFRecommender', 20, 500, 'tanimoto', 'BM25', 0.003049885511337353]
['UserKNNCFRecommender', 20, 500, 'tanimoto', 'TF-IDF', 0.0073629545067819754]
['UserKNNCFRecommender', 20, 500, 'cosine', 'none', 0.008114821017741023]
['UserKNNCFRecommender', 20, 500, 'cosine', 'BM25', 0.002820045733306274]
['UserKNNCFRecommender', 20, 500, 'cosine', 'TF-IDF', 0.008088327789549233]
['UserKNNCFRecommender', 20, 500, 'euclidean', 'none', 0.008752768978428726]
['UserKNNCFRecommender', 20, 500, 'euclidean', 'BM25', 0.003131226073734249]
['UserKNNCFRecommender', 20, 500, 'euclidean', 'TF-IDF', 0.008211901343173195]
['UserKNNCFRecommender', 20, 500, 'jaccard', 'none', 0.007188935236012989]
['UserKNNCFRecommender', 20, 500, 'jaccard', 'BM25', 0.003049885511337353]
['UserKNNCFRecommender', 20, 500, 'jaccard', 'TF-IDF', 0.0073629545067819754]
['UserKNNCFRecommender', 20, 1000, 'tanimoto', 'none', 0.006946524820380667]
['UserKNNCFRecommender', 20, 1000, 'tanimoto', 'BM25', 0.002922101673080655]
['UserKNNCFRecommender', 20, 1000, 'tanimoto', 'TF-IDF', 0.007109271017624394]
['UserKNNCFRecommender', 20, 1000, 'cosine', 'none', 0.007794218769303298]
['UserKNNCFRecommender', 20, 1000, 'cosine', 'BM25', 0.0029846936000565427]
['UserKNNCFRecommender', 20, 1000, 'cosine', 'TF-IDF', 0.008283324669956562]
['UserKNNCFRecommender', 20, 1000, 'euclidean', 'none', 0.008718554467000449]
['UserKNNCFRecommender', 20, 1000, 'euclidean', 'BM25', 0.0031353324366932235]
['UserKNNCFRecommender', 20, 1000, 'euclidean', 'TF-IDF', 0.008189255159371297]
['UserKNNCFRecommender', 20, 1000, 'jaccard', 'none', 0.006946524820380667]
['UserKNNCFRecommender', 20, 1000, 'jaccard', 'BM25', 0.002922101673080655]
['UserKNNCFRecommender', 20, 1000, 'jaccard', 'TF-IDF', 0.007109271017624394]
['UserKNNCFRecommender', 20, 10000, 'tanimoto', 'none', 0.006834493371156981]
['UserKNNCFRecommender', 20, 10000, 'tanimoto', 'BM25', 0.0028301659561143482]
['UserKNNCFRecommender', 20, 10000, 'tanimoto', 'TF-IDF', 0.00699461141840853]
['UserKNNCFRecommender', 20, 10000, 'cosine', 'none', 0.006859425831781359]
['UserKNNCFRecommender', 20, 10000, 'cosine', 'BM25', 0.003226216310924304]
['UserKNNCFRecommender', 20, 10000, 'cosine', 'TF-IDF', 0.00819131222577317]
['UserKNNCFRecommender', 20, 10000, 'euclidean', 'none', 0.008746474432937452]
['UserKNNCFRecommender', 20, 10000, 'euclidean', 'BM25', 0.003104357950532482]
['UserKNNCFRecommender', 20, 10000, 'euclidean', 'TF-IDF', 0.008187552592136894]
['UserKNNCFRecommender', 20, 10000, 'jaccard', 'none', 0.006834493371156981]
['UserKNNCFRecommender', 20, 10000, 'jaccard', 'BM25', 0.0028301659561143482]
['UserKNNCFRecommender', 20, 10000, 'jaccard', 'TF-IDF', 0.00699461141840853]
['UserKNNCFRecommender', 50, 10, 'tanimoto', 'none', 0.01244914345231333]
['UserKNNCFRecommender', 50, 10, 'tanimoto', 'BM25', 0.005586285291606156]
['UserKNNCFRecommender', 50, 10, 'tanimoto', 'TF-IDF', 0.012652641514125505]
['UserKNNCFRecommender', 50, 10, 'cosine', 'none', 0.011846948432317622]
['UserKNNCFRecommender', 50, 10, 'cosine', 'BM25', 0.0038991013786035425]
['UserKNNCFRecommender', 50, 10, 'cosine', 'TF-IDF', 0.012279670511963192]
['UserKNNCFRecommender', 50, 10, 'euclidean', 'none', 0.012609903482988696]
['UserKNNCFRecommender', 50, 10, 'euclidean', 'BM25', 0.0042981984837924935]
['UserKNNCFRecommender', 50, 10, 'euclidean', 'TF-IDF', 0.012323730387940867]
['UserKNNCFRecommender', 50, 10, 'jaccard', 'none', 0.01244914345231333]
['UserKNNCFRecommender', 50, 10, 'jaccard', 'BM25', 0.005586285291606156]
['UserKNNCFRecommender', 50, 10, 'jaccard', 'TF-IDF', 0.012652641514125505]
['UserKNNCFRecommender', 50, 50, 'tanimoto', 'none', 0.012064936283388313]
['UserKNNCFRecommender', 50, 50, 'tanimoto', 'BM25', 0.005572717200183058]
['UserKNNCFRecommender', 50, 50, 'tanimoto', 'TF-IDF', 0.0122405007820352]
['UserKNNCFRecommender', 50, 50, 'cosine', 'none', 0.012056002904368333]
['UserKNNCFRecommender', 50, 50, 'cosine', 'BM25', 0.003940444722604871]
['UserKNNCFRecommender', 50, 50, 'cosine', 'TF-IDF', 0.012304736031179186]
['UserKNNCFRecommender', 50, 50, 'euclidean', 'none', 0.012626355158050679]
['UserKNNCFRecommender', 50, 50, 'euclidean', 'BM25', 0.004296929085403804]
['UserKNNCFRecommender', 50, 50, 'euclidean', 'TF-IDF', 0.012306643528069233]
['UserKNNCFRecommender', 50, 50, 'jaccard', 'none', 0.012064936283388313]
['UserKNNCFRecommender', 50, 50, 'jaccard', 'BM25', 0.005572717200183058]
['UserKNNCFRecommender', 50, 50, 'jaccard', 'TF-IDF', 0.0122405007820352]
['UserKNNCFRecommender', 50, 100, 'tanimoto', 'none', 0.011619930079167257]
['UserKNNCFRecommender', 50, 100, 'tanimoto', 'BM25', 0.005466390759479026]
['UserKNNCFRecommender', 50, 100, 'tanimoto', 'TF-IDF', 0.011820303692152827]
['UserKNNCFRecommender', 50, 100, 'cosine', 'none', 0.0120924298790938]
['UserKNNCFRecommender', 50, 100, 'cosine', 'BM25', 0.003981443279744697]
['UserKNNCFRecommender', 50, 100, 'cosine', 'TF-IDF', 0.012332035380765497]
['UserKNNCFRecommender', 50, 100, 'euclidean', 'none', 0.012600840930299438]
['UserKNNCFRecommender', 50, 100, 'euclidean', 'BM25', 0.00429518864017616]
['UserKNNCFRecommender', 50, 100, 'euclidean', 'TF-IDF', 0.012309736897516806]
['UserKNNCFRecommender', 50, 100, 'jaccard', 'none', 0.011619930079167257]
['UserKNNCFRecommender', 50, 100, 'jaccard', 'BM25', 0.005466390759479026]
['UserKNNCFRecommender', 50, 100, 'jaccard', 'TF-IDF', 0.011820303692152827]
['UserKNNCFRecommender', 50, 500, 'tanimoto', 'none', 0.010720075219867465]
['UserKNNCFRecommender', 50, 500, 'tanimoto', 'BM25', 0.005143037985994082]
['UserKNNCFRecommender', 50, 500, 'tanimoto', 'TF-IDF', 0.010899964608357368]
['UserKNNCFRecommender', 50, 500, 'cosine', 'none', 0.011876567080566627]
['UserKNNCFRecommender', 50, 500, 'cosine', 'BM25', 0.004096166008949299]
['UserKNNCFRecommender', 50, 500, 'cosine', 'TF-IDF', 0.012394359248096945]
['UserKNNCFRecommender', 50, 500, 'euclidean', 'none', 0.01262370758344658]
['UserKNNCFRecommender', 50, 500, 'euclidean', 'BM25', 0.004297514737453063]
['UserKNNCFRecommender', 50, 500, 'euclidean', 'TF-IDF', 0.012305976292649951]
['UserKNNCFRecommender', 50, 500, 'jaccard', 'none', 0.010720075219867465]
['UserKNNCFRecommender', 50, 500, 'jaccard', 'BM25', 0.005143037985994082]
['UserKNNCFRecommender', 50, 500, 'jaccard', 'TF-IDF', 0.010899964608357368]
['UserKNNCFRecommender', 50, 1000, 'tanimoto', 'none', 0.010532216884339158]
['UserKNNCFRecommender', 50, 1000, 'tanimoto', 'BM25', 0.005008445821260949]
['UserKNNCFRecommender', 50, 1000, 'tanimoto', 'TF-IDF', 0.010724232086817418]
['UserKNNCFRecommender', 50, 1000, 'cosine', 'none', 0.011358501026008277]
['UserKNNCFRecommender', 50, 1000, 'cosine', 'BM25', 0.0042305648987938866]
['UserKNNCFRecommender', 50, 1000, 'cosine', 'TF-IDF', 0.01239382312880806]
['UserKNNCFRecommender', 50, 1000, 'euclidean', 'none', 0.012596991943448335]
['UserKNNCFRecommender', 50, 1000, 'euclidean', 'BM25', 0.004294767126097587]
['UserKNNCFRecommender', 50, 1000, 'euclidean', 'TF-IDF', 0.012310071972072375]
['UserKNNCFRecommender', 50, 1000, 'jaccard', 'none', 0.010532216884339158]
['UserKNNCFRecommender', 50, 1000, 'jaccard', 'BM25', 0.005008445821260949]
['UserKNNCFRecommender', 50, 1000, 'jaccard', 'TF-IDF', 0.010724232086817418]
['UserKNNCFRecommender', 50, 10000, 'tanimoto', 'none', 0.010480627057552292]
['UserKNNCFRecommender', 50, 10000, 'tanimoto', 'BM25', 0.004951728868158944]
['UserKNNCFRecommender', 50, 10000, 'tanimoto', 'TF-IDF', 0.010664607269311656]
['UserKNNCFRecommender', 50, 10000, 'cosine', 'none', 0.010153696270552404]
['UserKNNCFRecommender', 50, 10000, 'cosine', 'BM25', 0.004492629136762475]
['UserKNNCFRecommender', 50, 10000, 'cosine', 'TF-IDF', 0.011866509016516664]
['UserKNNCFRecommender', 50, 10000, 'euclidean', 'none', 0.012604049876187925]
['UserKNNCFRecommender', 50, 10000, 'euclidean', 'BM25', 0.004315335847655102]
['UserKNNCFRecommender', 50, 10000, 'euclidean', 'TF-IDF', 0.012334852920723803]
['UserKNNCFRecommender', 50, 10000, 'jaccard', 'none', 0.010480627057552292]
['UserKNNCFRecommender', 50, 10000, 'jaccard', 'BM25', 0.004951728868158944]
['UserKNNCFRecommender', 50, 10000, 'jaccard', 'TF-IDF', 0.010664607269311656]
['UserKNNCFRecommender', 100, 10, 'tanimoto', 'none', 0.01523542338272623]
['UserKNNCFRecommender', 100, 10, 'tanimoto', 'BM25', 0.007747990135405164]
['UserKNNCFRecommender', 100, 10, 'tanimoto', 'TF-IDF', 0.0154619163001242]
['UserKNNCFRecommender', 100, 10, 'cosine', 'none', 0.01481793214128388]
['UserKNNCFRecommender', 100, 10, 'cosine', 'BM25', 0.005074460364856386]
['UserKNNCFRecommender', 100, 10, 'cosine', 'TF-IDF', 0.015247275309686692]
['UserKNNCFRecommender', 100, 10, 'euclidean', 'none', 0.01507903777465437]
['UserKNNCFRecommender', 100, 10, 'euclidean', 'BM25', 0.005426617895351072]
['UserKNNCFRecommender', 100, 10, 'euclidean', 'TF-IDF', 0.015095449629261943]
['UserKNNCFRecommender', 100, 10, 'jaccard', 'none', 0.01523542338272623]
['UserKNNCFRecommender', 100, 10, 'jaccard', 'BM25', 0.007747990135405164]
['UserKNNCFRecommender', 100, 10, 'jaccard', 'TF-IDF', 0.0154619163001242]
['UserKNNCFRecommender', 100, 50, 'tanimoto', 'none', 0.014850136205378853]
['UserKNNCFRecommender', 100, 50, 'tanimoto', 'BM25', 0.007612965773056885]
['UserKNNCFRecommender', 100, 50, 'tanimoto', 'TF-IDF', 0.015077022471168103]
['UserKNNCFRecommender', 100, 50, 'cosine', 'none', 0.014935460755679645]
['UserKNNCFRecommender', 100, 50, 'cosine', 'BM25', 0.0050881721984076585]
['UserKNNCFRecommender', 100, 50, 'cosine', 'TF-IDF', 0.01523384124808583]
['UserKNNCFRecommender', 100, 50, 'euclidean', 'none', 0.015083456873865184]
['UserKNNCFRecommender', 100, 50, 'euclidean', 'BM25', 0.00542694520006185]
['UserKNNCFRecommender', 100, 50, 'euclidean', 'TF-IDF', 0.015091757010536779]
['UserKNNCFRecommender', 100, 50, 'jaccard', 'none', 0.014850136205378853]
['UserKNNCFRecommender', 100, 50, 'jaccard', 'BM25', 0.007612965773056885]
['UserKNNCFRecommender', 100, 50, 'jaccard', 'TF-IDF', 0.015077022471168103]
['UserKNNCFRecommender', 100, 100, 'tanimoto', 'none', 0.01444382479932443]
['UserKNNCFRecommender', 100, 100, 'tanimoto', 'BM25', 0.007544191963338831]
['UserKNNCFRecommender', 100, 100, 'tanimoto', 'TF-IDF', 0.014671719202472117]
['UserKNNCFRecommender', 100, 100, 'cosine', 'none', 0.015080018717556128]
['UserKNNCFRecommender', 100, 100, 'cosine', 'BM25', 0.005100481574978617]
['UserKNNCFRecommender', 100, 100, 'cosine', 'TF-IDF', 0.015272920653568401]
['UserKNNCFRecommender', 100, 100, 'euclidean', 'none', 0.015090143796517153]
['UserKNNCFRecommender', 100, 100, 'euclidean', 'BM25', 0.005423842118308319]
['UserKNNCFRecommender', 100, 100, 'euclidean', 'TF-IDF', 0.015088659756166826]
['UserKNNCFRecommender', 100, 100, 'jaccard', 'none', 0.01444382479932443]
['UserKNNCFRecommender', 100, 100, 'jaccard', 'BM25', 0.007544191963338831]
['UserKNNCFRecommender', 100, 100, 'jaccard', 'TF-IDF', 0.014671719202472117]
['UserKNNCFRecommender', 100, 500, 'tanimoto', 'none', 0.013656640458980488]
['UserKNNCFRecommender', 100, 500, 'tanimoto', 'BM25', 0.007100707677461374]
['UserKNNCFRecommender', 100, 500, 'tanimoto', 'TF-IDF', 0.013916886553273744]
['UserKNNCFRecommender', 100, 500, 'cosine', 'none', 0.014587014297291456]
['UserKNNCFRecommender', 100, 500, 'cosine', 'BM25', 0.005259466196124877]
['UserKNNCFRecommender', 100, 500, 'cosine', 'TF-IDF', 0.015359040641727021]
['UserKNNCFRecommender', 100, 500, 'euclidean', 'none', 0.015118166712897277]
['UserKNNCFRecommender', 100, 500, 'euclidean', 'BM25', 0.005428947877550353]
['UserKNNCFRecommender', 100, 500, 'euclidean', 'TF-IDF', 0.015089028823793236]
['UserKNNCFRecommender', 100, 500, 'jaccard', 'none', 0.013656640458980488]
['UserKNNCFRecommender', 100, 500, 'jaccard', 'BM25', 0.007100707677461374]
['UserKNNCFRecommender', 100, 500, 'jaccard', 'TF-IDF', 0.013916886553273744]
['UserKNNCFRecommender', 100, 1000, 'tanimoto', 'none', 0.013501631084662813]
['UserKNNCFRecommender', 100, 1000, 'tanimoto', 'BM25', 0.006975538391968523]
['UserKNNCFRecommender', 100, 1000, 'tanimoto', 'TF-IDF', 0.013771951753926086]
['UserKNNCFRecommender', 100, 1000, 'cosine', 'none', 0.01419861335465393]
['UserKNNCFRecommender', 100, 1000, 'cosine', 'BM25', 0.00534511610867527]
['UserKNNCFRecommender', 100, 1000, 'cosine', 'TF-IDF', 0.015376346028482731]
['UserKNNCFRecommender', 100, 1000, 'euclidean', 'none', 0.015112861851383129]
['UserKNNCFRecommender', 100, 1000, 'euclidean', 'BM25', 0.005430761165072686]
['UserKNNCFRecommender', 100, 1000, 'euclidean', 'TF-IDF', 0.01509324590704011]
['UserKNNCFRecommender', 100, 1000, 'jaccard', 'none', 0.013501631084662813]
['UserKNNCFRecommender', 100, 1000, 'jaccard', 'BM25', 0.006975538391968523]
['UserKNNCFRecommender', 100, 1000, 'jaccard', 'TF-IDF', 0.013771951753926086]
['UserKNNCFRecommender', 100, 10000, 'tanimoto', 'none', 0.013388961536937714]
['UserKNNCFRecommender', 100, 10000, 'tanimoto', 'BM25', 0.0069076416034784425]
['UserKNNCFRecommender', 100, 10000, 'tanimoto', 'TF-IDF', 0.013661791866060539]
['UserKNNCFRecommender', 100, 10000, 'cosine', 'none', 0.013034733342812828]
['UserKNNCFRecommender', 100, 10000, 'cosine', 'BM25', 0.005470827340840562]
['UserKNNCFRecommender', 100, 10000, 'cosine', 'TF-IDF', 0.014715529472186777]
['UserKNNCFRecommender', 100, 10000, 'euclidean', 'none', 0.01513401719622051]
['UserKNNCFRecommender', 100, 10000, 'euclidean', 'BM25', 0.005422995205228792]
['UserKNNCFRecommender', 100, 10000, 'euclidean', 'TF-IDF', 0.015074035937086084]
['UserKNNCFRecommender', 100, 10000, 'jaccard', 'none', 0.013388961536937714]
['UserKNNCFRecommender', 100, 10000, 'jaccard', 'BM25', 0.0069076416034784425]
['UserKNNCFRecommender', 100, 10000, 'jaccard', 'TF-IDF', 0.013661791866060539]
['UserKNNCFRecommender', 200, 10, 'tanimoto', 'none', 0.017454234643095843]
['UserKNNCFRecommender', 200, 10, 'tanimoto', 'BM25', 0.010007203617329145]
['UserKNNCFRecommender', 200, 10, 'tanimoto', 'TF-IDF', 0.01762741574186068]
['UserKNNCFRecommender', 200, 10, 'cosine', 'none', 0.017255766584539277]
['UserKNNCFRecommender', 200, 10, 'cosine', 'BM25', 0.006955681582437746]
['UserKNNCFRecommender', 200, 10, 'cosine', 'TF-IDF', 0.017556141013358558]
['UserKNNCFRecommender', 200, 10, 'euclidean', 'none', 0.01699393155699131]
['UserKNNCFRecommender', 200, 10, 'euclidean', 'BM25', 0.0076604434095012205]
['UserKNNCFRecommender', 200, 10, 'euclidean', 'TF-IDF', 0.017396711568599357]
['UserKNNCFRecommender', 200, 10, 'jaccard', 'none', 0.017454234643095843]
['UserKNNCFRecommender', 200, 10, 'jaccard', 'BM25', 0.010007203617329145]
['UserKNNCFRecommender', 200, 10, 'jaccard', 'TF-IDF', 0.01762741574186068]
['UserKNNCFRecommender', 200, 50, 'tanimoto', 'none', 0.017112108953425024]
['UserKNNCFRecommender', 200, 50, 'tanimoto', 'BM25', 0.009911198444166488]
['UserKNNCFRecommender', 200, 50, 'tanimoto', 'TF-IDF', 0.017349363105824356]
['UserKNNCFRecommender', 200, 50, 'cosine', 'none', 0.01734183121255405]
['UserKNNCFRecommender', 200, 50, 'cosine', 'BM25', 0.006962304403870394]
['UserKNNCFRecommender', 200, 50, 'cosine', 'TF-IDF', 0.017569543995580375]
['UserKNNCFRecommender', 200, 50, 'euclidean', 'none', 0.01700857285822276]
['UserKNNCFRecommender', 200, 50, 'euclidean', 'BM25', 0.007663822320743954]
['UserKNNCFRecommender', 200, 50, 'euclidean', 'TF-IDF', 0.017379880142374404]
['UserKNNCFRecommender', 200, 50, 'jaccard', 'none', 0.017112108953425024]
['UserKNNCFRecommender', 200, 50, 'jaccard', 'BM25', 0.009911198444166488]
['UserKNNCFRecommender', 200, 50, 'jaccard', 'TF-IDF', 0.017349363105824356]
['UserKNNCFRecommender', 200, 100, 'tanimoto', 'none', 0.016827347056433066]
['UserKNNCFRecommender', 200, 100, 'tanimoto', 'BM25', 0.00981561090016002]
['UserKNNCFRecommender', 200, 100, 'tanimoto', 'TF-IDF', 0.017009570312044576]
['UserKNNCFRecommender', 200, 100, 'cosine', 'none', 0.01738228393809909]
['UserKNNCFRecommender', 200, 100, 'cosine', 'BM25', 0.0069730025088829565]
['UserKNNCFRecommender', 200, 100, 'cosine', 'TF-IDF', 0.01759312256075421]
