recommenders,alpha,beta,MAP
P3alpha + RP3beta,1.196764834834892,1.531262184063621,0.0076408039460007125
P3alpha + RP3beta,0.20352228727456922,1.176770374652318,0.007807018968818404
P3alpha + RP3beta,0.9034658724276723,0.8485021290896346,0.007588374648375508
P3alpha + RP3beta,1.637080486676631,0.07244697295871294,0.007057720081806301
P3alpha + RP3beta,1.8239138260541499,0.23210870804898875,0.007145465588826807
P3alpha + RP3beta,1.3848642551314545,1.877308110151499,0.007645050297476293
P3alpha + RP3beta,0.848432089546524,0.43638883861372224,0.007445037452552067
