recommenders,alpha,beta,MAP
P3alpha + RP3beta,0.26672657848316894,1.8325046917533472,0.0076800908796641225
P3alpha + RP3beta,1.868230343403536,0.9266842994059166,0.007338171154442977
P3alpha + RP3beta,1.5375454319005608,1.4867277091426183,0.007491456930082758
P3alpha + RP3beta,1.958455506714172,1.5229465282415449,0.0074430442212978795
P3alpha + RP3beta,1.8345317000010233,1.5648192746958378,0.007467002754349409
P3alpha + RP3beta,1.590454081149735,0.3064888686314773,0.007143629600477875
P3alpha + RP3beta,0.4339537938770226,0.6523519920441305,0.007571601983610422
P3alpha + RP3beta,0.006934617096830964,0.6119975835873575,0.007672129660926443
P3alpha + RP3beta,0.6697771736234348,1.2510330807553578,0.00761440414435875
P3alpha + RP3beta,0.45900691132957805,0.4847165262794606,0.0075082012794263076
