recommenders,alpha,beta,MAP
P3alpha + RP3beta,0.8534485984885727,1.2092721128418122,0.007598228513730264
P3alpha + RP3beta,1.5756251510019532,0.8946619626080679,0.00737548061246772
P3alpha + RP3beta,1.7730182951676445,1.4919516635480543,0.007472780249987323
P3alpha + RP3beta,0.8389672664028713,1.2075124051584494,0.007599202006462239
P3alpha + RP3beta,0.5865750737891058,1.3026358470935255,0.007660614580613313
P3alpha + RP3beta,0.6955269194182894,1.3410827335467557,0.007648935636052144
P3alpha + RP3beta,1.976752656748885,1.9945851489060697,0.007518641811838541
P3alpha + RP3beta,0.8848488417686713,0.22590692180283622,0.00718784231095794
P3alpha + RP3beta,0.3015942786917749,0.1385863290575471,0.007322654871843475
P3alpha + RP3beta,0.16219294502656334,0.5788822606316251,0.00769993445823729
