recommender,shrink,topk,similarity,feature_weighting,MAP
ItemKNNCFRecommender,680,1689,adjusted,BM25,0.014212984391244415
ItemKNNCFRecommender,179,1913,jaccard,BM25,0.013435874582445495
ItemKNNCFRecommender,722,1403,tanimoto,BM25,0.015249539918316787
ItemKNNCFRecommender,211,1448,euclidean,TF-IDF,0.006087523518362936
ItemKNNCFRecommender,50,1091,pearson,BM25,0.0004401583266477102
ItemKNNCFRecommender,376,206,cosine,TF-IDF,0.017342954104181615
ItemKNNCFRecommender,294,1387,tanimoto,none,0.015558279254944648
ItemKNNCFRecommender,895,1458,tanimoto,BM25,0.01541078509794245
ItemKNNCFRecommender,373,1689,euclidean,TF-IDF,0.006025151395752547
ItemKNNCFRecommender,386,1043,tanimoto,none,0.015541405966899489
ItemKNNCFRecommender,409,1905,pearson,none,2.8902465847934892e-05
ItemKNNCFRecommender,536,177,euclidean,none,0.0087559409085804
ItemKNNCFRecommender,492,1277,cosine,BM25,0.008904241098626186
ItemKNNCFRecommender,702,916,euclidean,none,0.006691435122548726
ItemKNNCFRecommender,165,846,pearson,none,2.8902465847934892e-05
ItemKNNCFRecommender,17,340,cosine,none,0.016947990000838607
ItemKNNCFRecommender,379,1407,jaccard,BM25,0.014599867395202045
ItemKNNCFRecommender,444,142,euclidean,TF-IDF,0.009069762703872174
ItemKNNCFRecommender,463,1644,jaccard,BM25,0.014796782751249064
ItemKNNCFRecommender,80,822,cosine,TF-IDF,0.017057827085242023
ItemKNNCFRecommender,24,1320,cosine,TF-IDF,0.0169508353469324
ItemKNNCFRecommender,75,1469,euclidean,BM25,0.0014897231281440259
ItemKNNCFRecommender,617,637,adjusted,BM25,0.014314699827360744
ItemKNNCFRecommender,369,908,jaccard,BM25,0.014664091910316257
ItemKNNCFRecommender,941,730,euclidean,TF-IDF,0.006760291113421474
ItemKNNCFRecommender,954,1845,tanimoto,TF-IDF,0.014837114073356783
ItemKNNCFRecommender,797,752,tanimoto,BM25,0.01557150116385242
ItemKNNCFRecommender,214,1340,euclidean,BM25,0.0015483232139098975
ItemKNNCFRecommender,682,325,jaccard,TF-IDF,0.015405576047585818
ItemKNNCFRecommender,536,1662,adjusted,TF-IDF,0.010801244317220118
ItemKNNCFRecommender,573,1671,jaccard,BM25,0.015039979238962511
ItemKNNCFRecommender,731,562,euclidean,none,0.007226677656408097
ItemKNNCFRecommender,727,1112,pearson,TF-IDF,0.011823528608931785
ItemKNNCFRecommender,306,1849,adjusted,BM25,0.011703852976408332
ItemKNNCFRecommender,826,1271,tanimoto,none,0.014999445172346713
ItemKNNCFRecommender,580,241,adjusted,BM25,0.01375792681576024
ItemKNNCFRecommender,874,513,adjusted,TF-IDF,0.011211417225648404
ItemKNNCFRecommender,571,879,euclidean,BM25,0.0018682471243905837
ItemKNNCFRecommender,631,1500,euclidean,BM25,0.001483756505626215
ItemKNNCFRecommender,631,856,pearson,BM25,0.0003853836835967229
ItemKNNCFRecommender,794,137,adjusted,none,2.8902465847934892e-05
ItemKNNCFRecommender,73,1389,pearson,BM25,0.0004010988554528578
ItemKNNCFRecommender,702,479,euclidean,none,0.007336140899718948
ItemKNNCFRecommender,285,1307,pearson,none,2.8902465847934892e-05
ItemKNNCFRecommender,836,1169,tanimoto,none,0.015028605766568117
ItemKNNCFRecommender,274,327,jaccard,none,0.01588298496881899
ItemKNNCFRecommender,394,236,pearson,TF-IDF,0.01332232183406076
ItemKNNCFRecommender,798,948,jaccard,TF-IDF,0.015072860442153193
ItemKNNCFRecommender,983,198,tanimoto,BM25,0.016001038645279006
ItemKNNCFRecommender,97,1471,pearson,TF-IDF,0.013315070503661177
ItemKNNCFRecommender,665,1634,pearson,BM25,0.00034200525988483304
ItemKNNCFRecommender,469,1332,tanimoto,none,0.01534611751190364
ItemKNNCFRecommender,251,939,cosine,none,0.015481685346853288
ItemKNNCFRecommender,689,270,pearson,BM25,0.0004593616930372994
ItemKNNCFRecommender,905,1563,pearson,none,2.8902465847934892e-05
ItemKNNCFRecommender,668,150,cosine,none,0.015485578041404987
ItemKNNCFRecommender,109,235,pearson,none,2.8902465847934892e-05
ItemKNNCFRecommender,736,108,euclidean,TF-IDF,0.009568348041705903
ItemKNNCFRecommender,448,1095,euclidean,BM25,0.0016862191492088834
ItemKNNCFRecommender,298,832,cosine,TF-IDF,0.01708445980159908
ItemKNNCFRecommender,808,1461,adjusted,none,2.8902465847934892e-05
ItemKNNCFRecommender,88,311,euclidean,BM25,0.0030087265192189796
ItemKNNCFRecommender,467,1164,cosine,none,0.014705821675029663
ItemKNNCFRecommender,185,274,tanimoto,BM25,0.013667428590417497
ItemKNNCFRecommender,786,192,tanimoto,TF-IDF,0.015531127314847798
ItemKNNCFRecommender,307,149,cosine,none,0.01627443021870294
ItemKNNCFRecommender,865,850,adjusted,BM25,0.014978100626154251
ItemKNNCFRecommender,930,1758,pearson,TF-IDF,0.011364142190954437
ItemKNNCFRecommender,464,1859,adjusted,BM25,0.013056493125280169
ItemKNNCFRecommender,917,913,euclidean,none,0.006685800803224338
ItemKNNCFRecommender,989,1309,tanimoto,TF-IDF,0.014863659757925115
ItemKNNCFRecommender,385,476,adjusted,BM25,0.012907029874057376
ItemKNNCFRecommender,545,1848,jaccard,none,0.015216576628325217
ItemKNNCFRecommender,872,1923,cosine,none,0.013745192482668955
ItemKNNCFRecommender,32,1659,cosine,none,0.01653165662636306
ItemKNNCFRecommender,572,478,euclidean,none,0.007342728612729255
ItemKNNCFRecommender,349,1054,euclidean,TF-IDF,0.0066123805884299005
ItemKNNCFRecommender,590,1084,tanimoto,none,0.01521493390331243
ItemKNNCFRecommender,263,399,jaccard,TF-IDF,0.015817473767827737
ItemKNNCFRecommender,597,112,tanimoto,BM25,0.015233521124197605
ItemKNNCFRecommender,589,549,adjusted,TF-IDF,0.011175204089544935
ItemKNNCFRecommender,379,1098,tanimoto,BM25,0.014686323587355535
ItemKNNCFRecommender,75,1188,euclidean,TF-IDF,0.006404692081531411
ItemKNNCFRecommender,358,944,pearson,none,2.8902465847934892e-05
ItemKNNCFRecommender,416,202,jaccard,TF-IDF,0.015830091399202204
ItemKNNCFRecommender,812,203,jaccard,none,0.015460687938818246
ItemKNNCFRecommender,39,293,euclidean,TF-IDF,0.00793122570032912
ItemKNNCFRecommender,610,1236,tanimoto,none,0.015168585519809272
ItemKNNCFRecommender,227,1016,cosine,none,0.015559174297772116
ItemKNNCFRecommender,606,1128,euclidean,BM25,0.0016690135579702928
ItemKNNCFRecommender,972,1876,tanimoto,none,0.014828414850471549
ItemKNNCFRecommender,814,1474,tanimoto,BM25,0.015324177589156157
ItemKNNCFRecommender,882,263,adjusted,BM25,0.014786365639533464
ItemKNNCFRecommender,929,1579,jaccard,none,0.01489805709443591
ItemKNNCFRecommender,753,1765,cosine,none,0.01394295244266597
ItemKNNCFRecommender,198,1689,tanimoto,BM25,0.013666288276185339
ItemKNNCFRecommender,354,1791,tanimoto,TF-IDF,0.015464912936563392
ItemKNNCFRecommender,517,1822,jaccard,BM25,0.014896631948895088
ItemKNNCFRecommender,701,1900,cosine,BM25,0.008362936009481875
ItemKNNCFRecommender,633,788,euclidean,TF-IDF,0.006716723791168086
