recommender,topK,epochs,lambda_i,lambda_j,MAP
Recommender_Base_Class,482,19,0.0005387058896811232,0.004921685892581308,0.012411258234394446
Recommender_Base_Class,971,45,0.001764662041280482,0.006970104659132238,0.01235509404971613
Recommender_Base_Class,378,43,0.0033345295526032524,0.0054806622350131754,0.013165602307450468
Recommender_Base_Class,639,82,0.0018129060060020096,0.009157858315665061,0.01319412203122736
Recommender_Base_Class,513,18,0.00989198694447921,0.007682606153961982,0.012400323876934335
Recommender_Base_Class,995,60,0.0004352422819494106,0.009428266882828273,0.012597626920040338
Recommender_Base_Class,217,74,0.0005218922024706478,0.003799585884493833,0.014114585064079333
Recommender_Base_Class,874,56,0.00915914168550694,0.0049038687388406246,0.012733069152295017
Recommender_Base_Class,785,45,0.005149973043537569,0.006559678032303692,0.012589966144634574
Recommender_Base_Class,903,60,9.166609027413161e-05,0.007959333876315946,0.012612750671332003
Recommender_Base_Class,34,99,0.006403305800272447,0.001956524253012819,0.01607308217541491
Recommender_Base_Class,40,97,0.006590011503071966,0.0017442023862974936,0.015995691135258498
Recommender_Base_Class,15,98,0.007068028704692806,0.00038976231277720484,0.015800641028684063
Recommender_Base_Class,31,100,0.0067754547316618416,0.0016776120137545702,0.016048562946928004
Recommender_Base_Class,233,83,0.00782851743274816,0.0026129986930207897,0.014409169867063002
Recommender_Base_Class,178,87,0.005318752051646728,0.00012694610271790033,0.014666891762520423
Recommender_Base_Class,123,70,0.004013918725784446,0.0020959960924693682,0.014949674857149278
Recommender_Base_Class,333,93,0.008229930407607269,0.0027339194764212185,0.014116342512813627
Recommender_Base_Class,328,73,0.006626972662832936,0.0011484981885954459,0.013898734359992122
Recommender_Base_Class,84,33,0.005896491572398303,0.0035862568457280955,0.01479022075217632
Recommender_Base_Class,661,100,0.004389595569083941,0.0033758397664319702,0.013498772851778819
Recommender_Base_Class,7,89,0.006540469842034085,0.0014344228407163217,0.01468819773780659
Recommender_Base_Class,98,98,0.007787401891230932,0.0012971022477396205,0.015528929762181658
Recommender_Base_Class,15,80,0.005733462489506419,0.0025252555944789735,0.015818909792342108
Recommender_Base_Class,265,93,0.008741735569537666,0.0016576746345339003,0.014451824344532106
Recommender_Base_Class,119,91,0.007387619730228062,0.003983988406966855,0.015269168553674108
Recommender_Base_Class,172,79,0.006406864469175966,0.0006759779270059654,0.014807688427778742
Recommender_Base_Class,439,66,0.0044077487806877935,0.001947970411453604,0.013433222090883675
Recommender_Base_Class,57,96,0.00314839739256254,0.003159811483091258,0.015950712513430575
Recommender_Base_Class,164,87,0.006171835588219224,0.004550127398259241,0.014925126947731961
