recommender,alpha,topk,MAP
P3alphaRecommender,0.8761040653622522,116,0.017140184489660256
P3alphaRecommender,0.8762700017005369,116,0.017138021687284215
P3alphaRecommender,0.8761215417092758,116,0.017140854986271742
P3alphaRecommender,0.8762067518834268,116,0.017136888736736914
P3alphaRecommender,0.8763577790044655,116,0.017140390278540748
P3alphaRecommender,0.8763904352990439,116,0.01713969864385507
P3alphaRecommender,0.8763857639752308,116,0.017140692039316337
P3alphaRecommender,0.876201508905732,116,0.017137184415939057
P3alphaRecommender,0.8763961277229678,116,0.01713997797417016
P3alphaRecommender,0.8762129833139303,116,0.017135953603548706
