recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,110,1882,cosine,tfidf,0.01613071897751897
ItemKNNCFRecommender,602,1996,asym,bm25,0.01682599912493484
ItemKNNCFRecommender,189,1253,dice,bm25,0.017031169643944886
ItemKNNCFRecommender,123,1414,jaccard,bm25plus,0.017010038721233887
ItemKNNCFRecommender,871,1408,dice,bm25plus,0.017044930556544415
ItemKNNCFRecommender,954,1278,rp3beta,tfidf,0.01218485888191093
ItemKNNCFRecommender,486,361,rp3beta,bm25plus,0.013079011611623387
ItemKNNCFRecommender,208,900,jaccard,bm25,0.017087213170916073
ItemKNNCFRecommender,258,349,jaccard,bm25,0.01710743916082353
ItemKNNCFRecommender,661,436,asym,bm25,0.01717855600020877
ItemKNNCFRecommender,367,640,rp3beta,bm25plus,0.0134957366291483
