recommender,topk,shrink,MAP
ItemKNNCBFRecommender,320,25.886108365376046,4.917081257245348e-05
ItemKNNCBFRecommender,297,19.527196413218235,6.306268383509803e-05
ItemKNNCBFRecommender,301,91.07126994980422,4.516229716743505e-05
ItemKNNCBFRecommender,275,10.020028557754175,5.043633750551389e-05
ItemKNNCBFRecommender,248,20.40043102106426,6.559233712656067e-05
ItemKNNCBFRecommender,253,31.697468112044795,5.7373527257562874e-05
ItemKNNCBFRecommender,294,22.05700356720687,6.761925438143499e-05
ItemKNNCBFRecommender,265,14.804692894767015,5.0442591155749314e-05
ItemKNNCBFRecommender,249,25.91942048176406,5.0304579884373136e-05
ItemKNNCBFRecommender,291,44.73296000099795,4.632766879309784e-05
ItemKNNCBFRecommender,363,36.3583770337585,5.9992229116054035e-05
ItemKNNCBFRecommender,323,21.844635124024304,5.457687170393009e-05
ItemKNNCBFRecommender,310,17.539716160516278,4.726711332845679e-05
ItemKNNCBFRecommender,295,21.590456836015594,5.824783359619886e-05
ItemKNNCBFRecommender,271,30.647518915714805,4.631956910065878e-05
ItemKNNCBFRecommender,235,27.09411593658776,4.668510441305135e-05
ItemKNNCBFRecommender,339,14.816100496560663,5.15875845165682e-05
ItemKNNCBFRecommender,261,10.100319789413264,4.269263742835607e-05
ItemKNNCBFRecommender,219,19.817723227577975,5.9748770006010564e-05
ItemKNNCBFRecommender,283,39.272365436801195,5.103006298862107e-05
ItemKNNCBFRecommender,248,32.39300302500526,5.1102593416423794e-05
ItemKNNCBFRecommender,181,22.494633396012475,5.353011139822095e-05
ItemKNNCBFRecommender,202,16.6234245747326,4.865024196027896e-05
ItemKNNCBFRecommender,203,26.214870431511066,6.179268719389576e-05
ItemKNNCBFRecommender,210,27.20838428138218,5.0581669710941416e-05
ItemKNNCBFRecommender,228,23.708126395550536,5.0959864354024625e-05
ItemKNNCBFRecommender,241,19.42336052586478,5.8769821323675465e-05
ItemKNNCBFRecommender,317,14.19812092517801,4.788096411041465e-05
