recommender,alpha,MAP
RP3beta-P3alpha,0.329443297731394,0.01841345491028408
RP3beta-P3alpha,0.9057231169226931,0.018845131959908435
RP3beta-P3alpha,0.3924315816939379,0.01856318902105623
RP3beta-P3alpha,0.7877018375075528,0.01885867493821945
RP3beta-P3alpha,0.2178605830602559,0.018118950508242773
RP3beta-P3alpha,0.16632710958000685,0.017947703980434732
RP3beta-P3alpha,0.7036489947418604,0.018836676340122125
RP3beta-P3alpha,0.7226457008319402,0.0188553198893646
RP3beta-P3alpha,0.08695614734983736,0.017608985248703853
RP3beta-P3alpha,0.47992247190796256,0.01868300749180336
RP3beta-P3alpha,0.5782825505233419,0.01878487477181288
RP3beta-P3alpha,0.956421332942435,0.018807796702488094
RP3beta-P3alpha,0.9112557946797295,0.01884131953237559
RP3beta-P3alpha,0.43864136118690433,0.018624218056866693
RP3beta-P3alpha,0.2571555387967571,0.018224297793484674
RP3beta-P3alpha,0.64933190477625,0.018828200767963935
RP3beta-P3alpha,0.8750393582442887,0.018854919760734765
RP3beta-P3alpha,0.01633893428567723,0.01724033612107133
RP3beta-P3alpha,0.4914103364884769,0.018695482725892137
RP3beta-P3alpha,0.16431629934784886,0.017935046953847174
RP3beta-P3alpha,0.9738032913251367,0.018790195735237807
RP3beta-P3alpha,0.9914072422807977,0.018783298484249686
RP3beta-P3alpha,0.3156413842941097,0.018382963846721046
RP3beta-P3alpha,0.06558984845645488,0.01749999979043727
RP3beta-P3alpha,0.40048696131794814,0.01856813067449203
RP3beta-P3alpha,0.1512654667494051,0.01789452123193289
RP3beta-P3alpha,0.8697611889812539,0.018856103819926816
RP3beta-P3alpha,0.5099675976666667,0.018721900854330207
RP3beta-P3alpha,0.9644161667483209,0.018804799100868807
RP3beta-P3alpha,0.014766150883707585,0.017230067179798098
RP3beta-P3alpha,0.4022201357930256,0.01856868030781646
RP3beta-P3alpha,0.5887842792953036,0.01878641447563659
RP3beta-P3alpha,0.930143939774703,0.018826786421140194
RP3beta-P3alpha,0.27268408472263883,0.018270667388899608
RP3beta-P3alpha,0.009906355441852477,0.01720258243314066
RP3beta-P3alpha,0.6654450860895782,0.01883298794473517
RP3beta-P3alpha,0.6966875122690083,0.018838307053374703
RP3beta-P3alpha,0.779574862164273,0.01885180396418359
RP3beta-P3alpha,0.3920120385121829,0.01856188109459579
RP3beta-P3alpha,0.07751677531990875,0.01755463586810357
RP3beta-P3alpha,0.031593155584835886,0.017316991741790563
RP3beta-P3alpha,0.34834104318885895,0.01846099859717293
RP3beta-P3alpha,0.14716987174774954,0.017880840633639223
RP3beta-P3alpha,0.634413161413471,0.018820832315925597
RP3beta-P3alpha,0.613637532883152,0.01879733633949195
RP3beta-P3alpha,0.9803513546919022,0.018793438763986182
RP3beta-P3alpha,0.5246494271996907,0.01873951805430332
RP3beta-P3alpha,0.20148645267240173,0.018070795666688164
RP3beta-P3alpha,0.2715296769818436,0.018267361942989696
RP3beta-P3alpha,0.36340869819419674,0.018506493938810296
RP3beta-P3alpha,0.8673209999105232,0.018857002415084093
RP3beta-P3alpha,0.8523299974078736,0.018859249754902052
RP3beta-P3alpha,0.19390027363703,0.018048789084030247
RP3beta-P3alpha,0.055236379320179774,0.01744399603616052
RP3beta-P3alpha,0.7934848394309612,0.018861052746428592
RP3beta-P3alpha,0.044585051660264274,0.017391583248961593
RP3beta-P3alpha,0.7268343226892066,0.01885164913269791
RP3beta-P3alpha,0.5016281233686006,0.018717840525726507
RP3beta-P3alpha,0.3911233668488162,0.01855938522903774
RP3beta-P3alpha,0.43496658588693504,0.018621959002980873
RP3beta-P3alpha,0.1449332784411963,0.017873843557387508
RP3beta-P3alpha,0.057917688142429036,0.01745958301952569
RP3beta-P3alpha,0.19075883986845077,0.018038933947273045
RP3beta-P3alpha,0.4622485125735265,0.018654993571791286
RP3beta-P3alpha,0.8006420271462159,0.01886937113290773
RP3beta-P3alpha,0.3246633454653435,0.018401304087816848
RP3beta-P3alpha,0.7497290159477727,0.01886611141779707
RP3beta-P3alpha,0.4550468889551933,0.01864619260473885
RP3beta-P3alpha,0.8061851089071085,0.01887096386865571
RP3beta-P3alpha,0.6764599917852634,0.01883960833011823
RP3beta-P3alpha,0.11448677500343418,0.017737398188646943
RP3beta-P3alpha,0.568857642718875,0.018773776891323174
RP3beta-P3alpha,0.12641556189434733,0.01779749465446952
RP3beta-P3alpha,0.857281610657335,0.018854137421494378
RP3beta-P3alpha,0.28112096161136424,0.01829006331993956
RP3beta-P3alpha,0.7547644696008233,0.01886465911144775
RP3beta-P3alpha,0.7821086489759319,0.018854790035545695
RP3beta-P3alpha,0.6004766123793324,0.01879423455492307
RP3beta-P3alpha,0.3905091932441592,0.01855928494406465
RP3beta-P3alpha,0.9923338317493839,0.018783071914962462
RP3beta-P3alpha,0.5076389944473989,0.018718318976509645
RP3beta-P3alpha,0.768168702938224,0.01886110468854038
RP3beta-P3alpha,0.7998678544561205,0.018867597445983594
RP3beta-P3alpha,0.1470488669001604,0.0178811572855158
RP3beta-P3alpha,0.8526976824407837,0.01886006956705067
RP3beta-P3alpha,0.6808780155616384,0.01883526042530694
RP3beta-P3alpha,0.04373878679340448,0.017386918208618596
RP3beta-P3alpha,0.4120865404592403,0.018589170990466218
RP3beta-P3alpha,0.5786295973581336,0.01878505850863957
RP3beta-P3alpha,0.8485931539120083,0.01886972028492874
RP3beta-P3alpha,0.556864688353212,0.018767674248865038
RP3beta-P3alpha,0.5175225206482298,0.018733866945695607
RP3beta-P3alpha,0.5913708190498455,0.018786530456116626
RP3beta-P3alpha,0.6866816748994138,0.018834723487358974
RP3beta-P3alpha,0.3526932635197172,0.018474869055036466
RP3beta-P3alpha,0.2947772393225122,0.018329386020922604
RP3beta-P3alpha,0.6034740213992223,0.01879408246786722
RP3beta-P3alpha,0.1233667291320808,0.017784664678930435
RP3beta-P3alpha,0.3629126346867302,0.018506325723542924
RP3beta-P3alpha,0.6408075625845592,0.01882833146302973
