recommender,shrink,topk,MAP
UserKNNCFRecommender,262.6594548672267,156,0.015115067495202071
UserKNNCFRecommender,482.6904319661163,1100,0.016999635394573314
UserKNNCFRecommender,280.7972248928775,1905,0.01645506757394949
UserKNNCFRecommender,532.4795523100921,1553,0.016692018359255715
UserKNNCFRecommender,807.0078532760691,409,0.016827356444322678
